,Learner's transcript,Questions
26,"Hi Rose, excited to hear that you're interested in promotion. Can you tell me specifically what do you think is causing you to know that you're ready for that promotion?","[""can you tell me specifically what do you think is causing you to know that you're ready for that promotion?""]"
27,"I am glad we are having this conversation, and happy to hear your thoughts on the engagement. Could you tell me more about what makes you think you are ready for a manager role?
",['could you tell me more about what makes you think you are ready for a manager role?']
28,"So Rose, thank you for taking time to meet with me. I think one of the first things that we have to take into consideration from a promotion standpoint is are we performing the highest of our ability on all areas? Are we performing higher than our peers on all areas? So I'd like to understand from you on your end. Are there areas that you feel that you could still improve on is their areas that you still feel like maybe you should go a little bit on so could we start there?","['i think one of the first things that we have to take into consideration from a promotion standpoint is are we performing the highest of our ability on all areas?', 'are we performing higher than our peers on all areas?', 'are there areas that you feel that you could still improve on is their areas that you still feel like maybe you should go a little bit on so could we start there?']"
29,"I'm glad that we are having this conversation and I am grateful to you for all your work that you have done. This is all great. And but I wanted to understand more about your kind of reflection and reasoning behind stepping up to manager. So can you elaborate a little bit more of your your work up to date and your strength and what kind of specific deliverables you are referring to? I am really curious to hear about, you know, some specific achievements that you have achieved so far and then we can of course discuss more and we can see how we are kind of progressing from this point on.",['so can you elaborate a little bit more of your your work up to date and your strength and what kind of specific deliverables you are referring to?']
30,Hi Rose. Thanks for meeting with me today. I understand that you are ready or feel like you're ready for promotion and I am interested in talking with you about how you felt like you did a good job and the client is happy with your deliverables. Can you tell me more specifically about that?,['can you tell me more specifically about that?']
31,"Hi Rose, great to talk with you today. Thanks for setting this up. I know you're excited to get promoted to manager and that you feel like you've done a good job in the client is happy with your deliverables and your work. Can you tell me more about specifically why?",['can you tell me more about specifically why?']
32,"Hi Rose, great to talk with you. You really feel like you did a great job and that the client was happy with your deliverables. Can you tell me a little bit more about what I'm thinking and why you think that was adequate for manager level work?","[""can you tell me a little bit more about what i'm thinking and why you think that was adequate for manager level work?""]"
33,"Thank you Rose. I appreciate you sharing this with me. I understand that you feel based on your work on this engagement that say you are ready for a promotion. Is that correct? And if so, could you please elaborate on what specific activities that you have shown to demonstrate that you're ready for that next step?","['is that correct?', ""and if so, could you please elaborate on what specific activities that you have shown to demonstrate that you're ready for that next step?""]"
34,"Thank you. Yes, I appreciate your sharing that with me. So you feel that your work has been exceptional on this project and the client has been happy and that you based on that you deserve to be promoted to manager. Could you elaborate on that a little bit more? I'd like to understand them specifically what aside from just delivery what other aspects that you feel you're deserving of the promotion.",['could you elaborate on that a little bit more?']
35,"Hi Rose, really exciting to hear that you are ready to get promoted to manager now is the next step. I'd like to understand. What is your contribution The Firm? Can you tell me more about your accomplishments working on this engagement or contributing to other e y initiatives I would like to understand why you think you should be promoted to manager in this year and are there any areas that you still need to work on?","['what is your contribution the firm?', 'can you tell me more about your accomplishments working on this engagement or contributing to other e y initiatives i would like to understand why you think you should be promoted to manager in this year and are there any areas that you still need to work on?']"
36,"Hi Rose, thanks for sharing that I would like to understand what your feedback is for the year so far back. I understand that you think you've done a great job on the engagement. Let's talk about what are your accomplishments? Why do you think you deserve to be promoted to manager this year?","[""let's talk about what are your accomplishments?"", 'why do you think you deserve to be promoted to manager this year?']"
37,Thank you for sharing your perspective on on your performance appreciate that. So you're expecting a promotion to manager this year. Can you elaborate a little bit more in tell me what you've accomplished that prepares you for that new role?,"[""can you elaborate a little bit more in tell me what you've accomplished that prepares you for that new role?""]"
38,"Thank you for all your work this cycle, especially on the engagement. We worked on together and and your support and making the the client happy with our performance. I understand you are expecting a promotion to managers here as you think about your performance and what the expectation is for the manager role. Can you describe accomplished to meet those requirements?",['can you describe accomplished to meet those requirements?']
39,Thanks for letting me know your your thoughts on the engagement and that you think you're ready to be promoted to manager. Can you elaborate a little bit on why you think you're ready to be promoted to manager?,"[""can you elaborate a little bit on why you think you're ready to be promoted to manager?""]"
40,I understand that. So let's take a little bit into your promotion and what you've done on the engagement. Can you help me understand? You know where the whole point was most satisfied and why you believe you should be promoted to manager.,['can you help me understand?']
41,"Hi Rose, so I'm hearing that you are ready to be promoted to manager this year. And I do want to ask what would what specifically makes you feel ready to be a manager this year?",['and i do want to ask what would what specifically makes you feel ready to be a manager this year?']
42,"Thank you Rose for scheduling this meeting and bringing this to my attention. I'm definitely happy to hear you think you're ready for the next step and ready for promotion to manager. Can you please elaborate or help me understand some of the key areas you worked on and things you think you did well, or why you think you're ready for this next step?","[""can you please elaborate or help me understand some of the key areas you worked on and things you think you did well, or why you think you're ready for this next step?""]"
43,"So promotion to manager, you know requires a lot more than just, you know, good work. And so I'm trying to understand what areas specifically do you feel that your your most successful at and and what areas do you feel that you can improve upon?","[""and so i'm trying to understand what areas specifically do you feel that your your most successful at and and what areas do you feel that you can improve upon?""]"
44,"Hi Rose, I'm glad we were able to sit down and talk as well. So you said that you feel that you're already for promotion to the manager role? What do you feel makes you ready for that transition?",['what do you feel makes you ready for that transition?']
45,Rose let's can you help me understand and clarify some of the things that you've contributed to the project? That lady that leads you to think that you are ready for promotion. Let's talk more about these different scenarios and then continue the conversation from there.,"[""rose let's can you help me understand and clarify some of the things that you've contributed to the project?""]"
46,"Hi Rose. Thanks for meeting with me today. So I understand you'd like to move up to a manager. You know, they'll tell me a little bit more about how you feel you perform in this project perhaps, you know, highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way?","[""you know, they'll tell me a little bit more about how you feel you perform in this project perhaps, you know, highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way?""]"
47,"Well Rose, thanks for sharing that with me. So I understand that you feel like you've done a great job on the client site. And you feel like you're ready for that next step. Can you share a little bit more with me as to why you feel like you're ready?","[""can you share a little bit more with me as to why you feel like you're ready?""]"
48,"Hi Rose. Well, thanks for for sharing this with me. Can you tell me a little bit more about your performance and what you did on your Club Insight? I love to hear more about you know what your business case is for manager.",['can you tell me a little bit more about your performance and what you did on your club insight?']
49,Thanks for letting me know of your desire to be promoted to manager. It's interesting to see that you believe that you've done very well in various different areas. Do you want to tell me a little bit more about the other projects that you worked on?,['do you want to tell me a little bit more about the other projects that you worked on?']
50,"Hi, Rose, Grayson know that you think that you are ready for this promotion. What do you think that you did to deserve this promotion?",['what do you think that you did to deserve this promotion?']
51,"So you're ready to take on the promotion to manager, which is an additional responsibility. What do you think that you've done to deserve this promotion? Can you please elaborate
 a little bit more?","[""what do you think that you've done to deserve this promotion?"", 'can you please elaborate\n a little bit more?']"
52,"So you're ready to take on the promotion to manager, which is an additional responsibility. What do you think that you've done to deserve this promotion? Can you please explain a little bit more?","[""what do you think that you've done to deserve this promotion?"", 'can you please explain a little bit more?']"
53,What do you think that you've done to deserve the promotion that you're referencing?,"[""what do you think that you've done to deserve the promotion that you're referencing?""]"
54,"Thank you for coming to me to have this conversation. So I would like you to elaborate a little bit more on your experience on this team. You know, what was the client feedback did he have any feedback for you to improve your performance? We have gotten some indications that there were some performance issues during this so I like to understand where that discrepancy long as you know, do you see room for growth over the next year and what really sets you apart for a promotion to manager?","['you know, what was the client feedback did he have any feedback for you to improve your performance?', 'we have gotten some indications that there were some performance issues during this so i like to understand where that discrepancy long as you know, do you see room for growth over the next year and what really sets you apart for a promotion to manager?']"
55,"Thank you so much for this conversation. So to be clear you're looking for promotion and you feel like you've done the right work and the client is happy with your work home. It's important for us to focus over the next few weeks on how we're going to get you there. And also if you're ready for this change, it's going to be a tremendous amount of work. How are you prepared for the future?",['how are you prepared for the future?']
56,How did you feel about the work that you turned into the client? What exactly did the clients feedback say about your work?,"['how did you feel about the work that you turned into the client?', 'what exactly did the clients feedback say about your work?']"
57,Thanks a rose for sharing your feelings on the engagement. So you are ready for the promotion. Would you please share your reasons for why you're ready for office manager role?,"[""would you please share your reasons for why you're ready for office manager role?""]"
58,Thank you Rose for sharing your perspective on this engagement. So you're ready for the promotion. Could you please share your perspective on life? You're ready for the management role?,['could you please share your perspective on life?']
59,"Thanks for providing your thoughts on the engagement so far Rose, so you think you're ready to be promoted to manager. Can you tell me more on why you think you're ready for this promotion wage?","[""can you tell me more on why you think you're ready for this promotion wage?""]"
60,Can you expand on some of the examples you discuss such as what specific deliverables the client was happy with?,['can you expand on some of the examples you discuss such as what specific deliverables the client was happy with?']
61,"Hi Rose, happy to hear that you feel you're ready for the promotion. This is good news. Could you further elaborate and go deeper? Why you you think or you believe you're ready for the promotion and if you have any examples of situations you performed as expected.",['could you further elaborate and go deeper?']
62,"Hi Rose, happy to hear that you feel you're ready for the promotion. This is good news. Could you phone number eight and go deeper? Why you are you think you're we believe you're ready for the promotion and if you have any examples off of situations you performed as expected.",['could you phone number eight and go deeper?']
63,"Hi Rose, well, great to have this conversation with you. I'm happy and the client is like your work but we need to check what are the the criteria's for a promotion? So I'm wondering have you checked the expectations guide? Are you sure you are performing wage according to what it's expected for a senior and probably what is expected for a manager. Let me know your thoughts.","[""i'm happy and the client is like your work but we need to check what are the the criteria's for a promotion?""]"
64,For sharing with me that you're ready for your promotion. Can you elaborate on why you think you're ready to take on the manager role?,"[""can you elaborate on why you think you're ready to take on the manager role?""]"
65,Thanks for letting me know. Can you provide some additional information?,['can you provide some additional information?']
66,"Hey Rose, happy to talk to you today. So you said you think you're ready to promote to manager. You also say that that you think the client was happy with you working your deliverables wage. Can you elaborate a little bit further on why you think you're ready to promote to manager this year?","[""can you elaborate a little bit further on why you think you're ready to promote to manager this year?""]"
67,So you're saying that you are you think you're ready to promote this year to manager? You also stated that you think the client was happy with your work and deliverables. Is that correct?,"[""so you're saying that you are you think you're ready to promote this year to manager?"", 'is that correct?']"
68,"Hi Rose, thanks for taking the time to discuss your contributions on the most recent engagement. So you think you're ready for promotion. Can you tell me a little bit more about why you feel the need to take on a manager role?",['can you tell me a little bit more about why you feel the need to take on a manager role?']
69,Heroes thanks for for checking with me and hope all is well at your end. You just want to know more about what extra you have done how you're performing at the next level to to support your promotion. So do you mind to provide me some more insight about your current engagement or your past engagement within a year so that I can help you? Thank you very much.,['so do you mind to provide me some more insight about your current engagement or your past engagement within a year so that i can help you?']
70,"And was thank you for checking with me and I hope all is well at your end. Yeah, great. I mean I would definitely support you down based on the business drivers and then then your feedback for very promotions. I will like to know more about the different skills of the you know, the the drivers for the for the Performing the promotion criteria. Where do you fit yourself? And can you please please elaborate about like what specifically you have done extra based on the next level in your new current engagement or on the past engagement within a year so that I can you know help Hellman and and engage and then provide, you know appropriate situation and help you out. Thank you very much.",['where do you fit yourself?']
71,"Heroes thanks for checking this one to about your you know aspirations to be get promoted at the next level and Thursday. I want to know more about like how do you scale yourself in terms of the you know different, you know competency and to get promoted like the professional leadership is person leader skill skips cuz client level skills. I know you mentioned that you have done great work and I would like to know that how do you want to rate yourself off? And then how you're performing at the next hour? Can you please provide some more examples so that I can you know understand more and then help you in in in in a better way. Thank you very much.","['i know you mentioned that you have done great work and i would like to know that how do you want to rate yourself off?', ""and then how you're performing at the next hour?""]"
72,Heroes thanks for checking and hope all is well at your end and just want to you know know more about what is dead. What do you think?,['what do you think?']
73,You say that you're ready for promotion. Why do you feel this way? What work have you done that you feel that you deserve a promotion this year? What are some areas that you can improve on?,"['why do you feel this way?', 'what work have you done that you feel that you deserve a promotion this year?', 'what are some areas that you can improve on?']"
74,Thank you so much for sharing. Why do you believe that the promotion should happen this year? What are some other things you can work on? Do you feel that there's any areas that you are that you can use for improvement during this time?,"['why do you believe that the promotion should happen this year?', 'what are some other things you can work on?', ""do you feel that there's any areas that you are that you can use for improvement during this time?""]"
75,Thanks for sharing your thoughts on promotion Readiness Rose is a great conversation to have an important one. It sounds like you feel like based on your performance the past couple of months you believe that you're ready for promotion to manager in particular what skills or deliverables or accomplishments? Do you think you've made over the past couple of months or even year that indicate that you're ready for promotion?,"[""it sounds like you feel like based on your performance the past couple of months you believe that you're ready for promotion to manager in particular what skills or deliverables or accomplishments?"", ""do you think you've made over the past couple of months or even year that indicate that you're ready for promotion?""]"
76,Why do you think the promotion will happen this year? It makes you think that you're ready.,['why do you think the promotion will happen this year?']
77,Rose I understand that you did you succeeded in this this implementation the I want to question you to understand a little bit more about why you think you're ready for a promotion and what you think goes into that?,"[""rose i understand that you did you succeeded in this this implementation the i want to question you to understand a little bit more about why you think you're ready for a promotion and what you think goes into that?""]"
78,Thanks rules for sharing on how that engagement how well you did on that particular engagement. What did you think work? Well on the engagement and what did you think you could have improved on your next step you mentioned is that you'll for promotion? So tell me why you feel you're ready for promotion to manager. What did you do? So well on on this particular engagement that you think makes you ready for the next step to be promoted to manager.,"['what did you think work?', ""well on the engagement and what did you think you could have improved on your next step you mentioned is that you'll for promotion?"", 'what did you do?']"
79,"Thanks rules that you felt that this work on this engagement went. Well. What do you think went? Well on the engagement are there any errors of development you think you could have worked on Thursday? And you know, let me know. What do you think?","['what do you think went?', 'well on the engagement are there any errors of development you think you could have worked on thursday?', 'what do you think?']"
80,Rose we've definitely had enjoyed having you on the team. I hear that she you know feel you're ready to move into the manager role. Could you share a little bit more background in terms of what you think you've been doing well and why you feel ready for this role?,"[""could you share a little bit more background in terms of what you think you've been doing well and why you feel ready for this role?""]"
81,"Rose we've enjoyed having you on the team and understand you, you know had some strong points and you know believe you you did a good job. What do you think you exchange that particularly?",['what do you think you exchange that particularly?']
82,"Hi Rose, thank you for sharing your thoughts. And I really radius radius support here Thursday with your promotion. Just please can you share more details? Why do you think you are ready for promotion any summary of a completed work off highlights, maybe key items the most critical one, which will be really supportive for your promotion.",['just please can you share more details?']
83,I agree that you've done a great job. So you say that you're ready for a promotion. Let's talk about that more and let's talk about what you feel you've done to get you that promotion. Do you want to share that with me now?,['do you want to share that with me now?']
84,"Thank you for sharing your feedback on the engagement so far Rose, I appreciate it. So you mentioned saying that you think you're ready to take the next step to manager. Can you talk a little bit more about why you think you're ready to take that next step?","[""can you talk a little bit more about why you think you're ready to take that next step?""]"
85,"No, thanks for taking the time to talk to me about this issue. I appreciate it. Let's cover some of those areas that there has been some poor feedback over. What do you think is driving the what do you think are some of the key causes that would generate that feedback?",['what do you think is driving the what do you think are some of the key causes that would generate that feedback?']
86,Rose I'm happy we're having this conversation you're saying that you feel ready for promotion. What can you please tell me more and elaborate on why you think you're ready for the promotion?,"[""what can you please tell me more and elaborate on why you think you're ready for the promotion?""]"
87,Rose thank you for that and there have been some issues with your performance in the past. Can you please elaborate more on that page so we can understand what happened?,['can you please elaborate more on that page so we can understand what happened?']
88,"Hey, hi Rose. Thanks for having me on this call. So I would like to know what how how long you are delivering the month. You're welcome as a manager. It's not just about delivering as a leadership in a delivery as a leadership role just for a few months. I would like to know about your past Year's performance as well. I would like to see the last three quarters feedback and a second like I would like to know about your roles and responsibilities and I will also like to know like the fact that you develop in last three or four quarters, right? So let me know if you have any more details on around town.","['i would like to see the last three quarters feedback and a second like i would like to know about your roles and responsibilities and i will also like to know like the fact that you develop in last three or four quarters, right?']"
89,Thanks for taking the time to talk to me about your career. And where how do you think you did this past year? It sounds like you think that you had a good year and that you met the client's expectations and let the client was pleased and that you're expecting to be promoted to manager this year. Let's talk a little bit more about that. Can you explain a little bit further what you mean? That's why you think that you're ready for this promotion and what you've done to meet the requirements.,"['and where how do you think you did this past year?', 'can you explain a little bit further what you mean?']"
90,Thank you Rose for sharing your the information on this project. So you think you are you did a good job on this project and you've already to take on get promoted to the role of a manager. Can you please help elaborate on why you think you're ready to move up to manager?,"[""can you please help elaborate on why you think you're ready to move up to manager?""]"
91,"So Rose, you think you did a good job on this project? And the client is very happy. Could you please help me better understand by elaborating on what you think you did well on this project and how do you come to the conclusion that the client was really happy with your work?","['so rose, you think you did a good job on this project?', 'could you please help me better understand by elaborating on what you think you did well on this project and how do you come to the conclusion that the client was really happy with your work?']"
92,"So Rose, you think you did a good job on this project? And the client is very happy with your work and you believe you're ready to move up to the next level manager. Is that right?","['so rose, you think you did a good job on this project?', 'is that right?']"
93,What do you think you did? Well on this project Rose?,"['what do you think you did?', 'well on this project rose?']"
94,Thanks Rose. Great to hear you're ready for promotion. Why do you think you're ready for that?,"[""why do you think you're ready for that?""]"
95,Thank you Rose for taking the time. Why do you think you're ready for being promoted to manager?,"[""why do you think you're ready for being promoted to manager?""]"
96,Rose it sounds like you believe you're ready for promotion and you'd like to have that happen this year despite that there have been some issues with poor performance reviews. Can you elaborate on why you believe that you're ready for this promotion?,"[""can you elaborate on why you believe that you're ready for this promotion?""]"
97,"Rose if I understand you you believe that your work was exemplary and you believe that you are ready for a promotion this year long, but despite that there have been some issues with poor performance reviews. Can you be more specific about why you believe that you're ready for this promotion?","[""can you be more specific about why you believe that you're ready for this promotion?""]"
98,Rose I understand that you feel like your performance on the engagement was good and that you feel like the client's response to your work reflected that what specifically do you think was positive about the work that you did?,"[""rose i understand that you feel like your performance on the engagement was good and that you feel like the client's response to your work reflected that what specifically do you think was positive about the work that you did?""]"
99,Hey Rose. I know that you're ready for promotion this year. Can you tell me more about why you think you're ready for a promotion?,"[""can you tell me more about why you think you're ready for a promotion?""]"
100,Gyros can you tell me more about what you did this year to support your promotion?,['gyros can you tell me more about what you did this year to support your promotion?']
101,Hi Rose. Can you tell me a little bit more about what you did this year that you think would promote you to manager?,['can you tell me a little bit more about what you did this year that you think would promote you to manager?']
102,"Rose I'm very excited by Your Enthusiasm. However, let me ask you how do you think you did in this particular situation on the engagement? Are there anything that you can do better? Please? Let me know your thoughts about this and then we'll talk about what the progression is to manage your level.","['however, let me ask you how do you think you did in this particular situation on the engagement?', 'are there anything that you can do better?']"
103,Rose you've definitely done a good job over the last few months. Can you explain to me? Why you think you're ready for a promotion to manager at this time? What are some of the things that you feel you've accomplished over the last few months?,"['can you explain to me?', ""why you think you're ready for a promotion to manager at this time?"", ""what are some of the things that you feel you've accomplished over the last few months?""]"
104,Rose I'm very happy to hear that you felt that the engagement went well. I'm also happy to hear that you're excited to move up the manager. Can you tell me a little bit more about what you think went well with the engagement off?,['can you tell me a little bit more about what you think went well with the engagement off?']
105,"Present very happy to hear that you felt that the engagement. Well, I'm also happy to hear that. You're excited to move up the manager. Can you tell me a little bit more about what you think went well with the engagement off?",['can you tell me a little bit more about what you think went well with the engagement off?']
106,Roses really great to hear. Can you can we talk a little bit more about what went well with the project?,['can you can we talk a little bit more about what went well with the project?']
107,Rose I'm happy to hear that you think that the project went well and it's great to hear that you're ready to move up to manager. Can you tell me a little bit more about what you think went? Well with the project?,['can you tell me a little bit more about what you think went?']
108,Rose can we talk about work went well with the engagement?,['rose can we talk about work went well with the engagement?']
109,"Hi Rose. Thanks for your thoughts on the engagement. I'm glad that you felt that it went well, and I'm excited to hear that you're ready for the next level. But before we go to can you tell me a little bit more about what goes well with the engagement?",['but before we go to can you tell me a little bit more about what goes well with the engagement?']
110,Rose I think it's great that you feel really good about how this project went. I'm hearing that you already supposed to manager. Can you maybe give me some examples of what you think what really well and and what about the project makes you feel like you're ready for the next level?,"[""can you maybe give me some examples of what you think what really well and and what about the project makes you feel like you're ready for the next level?""]"
111,Hi Rose. Thanks so much for meeting with me today. It's great to hear that you're doing a good job on the client and that they're happy with your work. It definitely sounds like you're ready to to consider promotion to manager. Can you elaborate a little bit more about what that means for you? Please elaborate on the qualities and skills and capabilities that you have that demonstrate your Readiness for promotion.,['can you elaborate a little bit more about what that means for you?']
112,Hi Rose. Thanks so much for meeting with me today. I definitely hear that you're interested in being promoted. Let's take some time today to focus on what that really means. Can you share with me from your perspective some of the key qualities and skills and attributes that you think it takes to be promoted to manager?,['can you share with me from your perspective some of the key qualities and skills and attributes that you think it takes to be promoted to manager?']
113,Hi Rose. Thanks for meeting with me today. It sounds like you're really excited about how the engagement went. And I'd like to provide some feedback as well. I'm excited that you feel good about your work and I'm curious to hear more about your Ambitions to be promoted to manager this year. Can you tell me a little bit more about what you're expecting and how you think you would do in that role?,"[""can you tell me a little bit more about what you're expecting and how you think you would do in that role?""]"
