,Learner's transcript,Sentimental Label,Label By Word,Words
10,Hi Rose. I'm glad that we have a a chance to talk. I I'd like to know a little bit more about how you feel. You contributed to the team for the project for the client off. Just wondering if you got some feedback from the client or can you tell me a little bit more about what part? of the client work you participated in and and tell me a little bit more about how you feel that your You did a good job and what your strengths are.,Neutral,Positive,{'good'}
11,Thank you Rose for sharing that your fuel you're doing well so far for an engagement and you are ready for the promotion. Could you tell me more about why you think you'll be a good fit and ready for promotion this year?,Neutral,Positive,"{'ready', 'well', 'good'}"
12,Thanks for sharing this I heard there's some you know situation or there's a room that you could improve in terms of elaboration and opportune details. Are you aware of any of that? And could you help me more understanding the feedback received from others and you think anything you could improve on to be a manager?,Neutral,Neutral,
13,"Hi Rose, I'm always happy to have a conversation about performance and career aspirations. I hear you saying that you feel like you did a great job on your last work over the past few months passed and that the client was really happy with your work. And if I understand you correctly, you're also interested in becoming a manager. I'd like to make sure that I heard you correctly and I'd like to understand what your perspective is on what's required of a manager and why you think you might be ready.",Neutral,Positive,"{'happy', 'great', 'ready'}"
14,Rose I'm always happy to have a meeting and talk about performance careers everything else. So I'm really glad that you came to me now. I want to check my understanding and make sure I heard you correctly. What I heard you saying is that you feel like you've done a really good job on the last several months and the client was very pleased with your work. So you're interested in moving up to manager within the next year. I'd like to make sure that I heard you correctly and then I'd also like you to elaborate for me on the clients feedback on your work.,Neutral,Positive,"{'good', 'up', 'moving', 'now', 'happy'}"
15,"Hi Rose, it's always a pleasure to meet and talk about performance and expectations. What I hear you saying is you feel like you did a really good job on the most recent work and that the client was really happy with what you turned in. I also hear that you're looking to be progressed into a manager position this year. Is that right? Did I capture that correctly wage?",Neutral,Positive,"{'happy', 'right', 'good'}"
16,You have been doing really great work this year Rose and I appreciate all the efforts you made to supporting me and the client. Why do you think that you're ready to be promoted this year? Can you elaborate on what specific projects think make you promotion ready?,Neutral,Positive,"{'supporting', 'great', 'ready'}"
17,Rose you have been delivering really great work. I don't think that you're ready for a promotion and I think that we need to provide you with a few new opportunities so that you are able to be promoted when the time comes.,Neutral,Positive,"{'great', 'ready'}"
18,"Hi Rose, it's good to meet with you. I'm glad we're taking the time to talk. I'd like to get more of your perspective on the engagement and your thoughts on and some reasoning about why you thought things went well and what really was positive and worked on the engagement and maybe some other reasons within your role of why you think you're ready for this next step to manager.",Neutral,Positive,"{'ready', 'positive', 'well', 'good'}"
19,"So Rose, I hear you say you think you're ready for permission to manage your I'd like to just take a minute and if you could think about what is it that you think went really? Well, why do you think a client was so happy with your work? What? What is it that you think is is got you prepared for this promotion to manager.",Neutral,Positive,"{'prepared', 'happy', 'well', 'ready'}"
20,"Rose can you tell me a little bit about what you think went? Well on the engagement, why do you seem convinced that the client was really happy with your work? What ways do you think that that repairs you for the manager role?",Neutral,Positive,"{'happy', 'well'}"
21,Excellent. Could you elaborate on some of the points that you feel have set you up for success and deserving a promotion?,Neutral,Positive,"{'excellent', 'success', 'up'}"
22,"Heroes thank you for spending time with me. I understand that you feel that you delivered some really good deliverables off the past few year and you think you are ready for the next level. However, I need some more details to understand how you really should make yourself different from some of your peers and some of the other people at the same level right? So I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year. I also need to understand more details on how you contributed towards other areas like Business Development building a best practices and things like that.",Neutral,Positive,"{'ready', 'right', 'good', 'quality'}"
23,Heroes I'm definitely happy to hear that but I really want to get some more details from you. Right? I understand that month. You'll you've given some really good deliverables have seen some of those. Can you elaborate some of the key deliverables that you worked on and how you think about like that stand above some of the other things that some of your peers have delivered and I would also like to understand how you've contributed towards other areas like Business Development or other initiatives or other key assets that you worked on right? I really want to get to the bottom of those details before we can take this conversation. First name.,Neutral,Positive,"{'happy', 'right', 'good'}"
24,"Hi Rose, I appreciate you taking the time to chat with me as well. I definitely understand that you feel you're ready to be promoted to manager. And I understand that you feel you've done a great job on this project. Let's talk a little more about you know, are your expectations versus how you've done on the project and how you've done in general and we'll take it from there.",Neutral,Positive,"{'ready', 'great', 'well'}"
25,Rose thank you for feedback and I'm glad that you think that you did really well and engagement and the client was happy with you. But if I think take everything into perspective thought that you feedback from the T-Mobile has been you struggled. Would there be any reason why the team will think that you struggle in the engagement when you you think you did really well?,Neutral,Positive,"{'happy', 'well'}"
26,"Thank you Rose. So I heard you say that the Did you think you're doing good job, and the client is very very happy with your work and that you're ready for promotional. Can you maybe provide some further detail in long and elaborate on situations where you think decline was particularly happy were delivered good work and give me a couple of reasons on why you think exactly am I think you're ready for promotion.",Neutral,Positive,"{'ready', 'happy', 'good'}"
27,"Thank you Rose. So I hear use understand. Did you think it did really good job, and that the client is very very happy with it to work and can you elaborate on that a little bit and maybe provide some examples for situations where your client with a client was happy?",Neutral,Positive,"{'happy', 'good'}"
28,Whereas I agree I enjoyed working on the engagement with you as well. And I do believe the client did enjoy the deliverables. I hear that you would like to become manager this way here. Why do you think that you are ready for that promotion? And what have chins have you taken so far to realize and act upon that goal?,Neutral,Positive,"{'ready', 'believe', 'well', 'agree'}"
29,"His orders, right? Yeah, it's not there's something wrong on the order so they were going to the",Neutral,Negative,{'not'}
30,skip,Neutral,Neutral,
31,"I appreciate your taking time to speak this matter with me. However, I believe we need to analyze her performance more carefully in order to study of you indeed have worked for toward this promotion this year or ever need more Tyler. It's you consider the situation",Neutral,Positive,{'believe'}
32,Hi Rose. Thank you for bringing this to my attention. So if I'm hearing you right based on your performance on our last engagement and based on your belief that the client was satisfied with your deliverables and with your work you believe that you are up for promotion this year. Can you tell me a little bit more about the other projects you've been working on in your performance with those?,Neutral,Positive,"{'believe', 'right', 'up'}"
33,"Hi Rose, thank you for thank you for also bringing this to my attention. Let me just reflect what I heard from you. We did have a project together and you believed based on your performance and the deliverables and the fact that the client was satisfied that you're ready to go up for promotion within the next year. Is that correct?",Neutral,Positive,"{'ready', 'up'}"
34,"Hi Rose. Thank you for your feedback. If I'm hearing you, right you think that you're should be a promotion that you did a particularly good job on the client with me and that you believe that the client was really satisfied. Is that correct?",Neutral,Positive,"{'believe', 'right', 'good'}"
35,Thanks for those for sharing how you feel about this engagement. So you think you're ready for promotions manager? Can you elaborate on some of the ways that you think you're ready to take on this role?,Neutral,Positive,{'ready'}
36,Thanks for sharing all of this information with me. Can you help me understand? What areas that you think the client was really particularly happy with and what deliverables do you think you excelled in? I'd like understand how these reflect your promotion to manager.,Neutral,Positive,{'happy'}
37,Heroes I'm glad that you feel like your performance with the client went over really. Well. I understand. You want to you're looking forward to a promotion tell me more about where you think you are at your current Rank and what has you ready for that next step?,Neutral,Positive,"{'ready', 'well'}"
38,"Gyros and I'm glad that you're proud of the the your performance so far this year when we think about going to the next level, what do you think are some things that you need to focus on in order to help you get there?",Neutral,Positive,{'proud'}
39,Heroes I'm glad that you're proud of the work that you did with the client. It seems that the feedback however may show a different,Neutral,Positive,{'proud'}
40,"Let's talk about your performance. So as you are as a manager as you're up for promotion, you have to be self-aware of a where you are doing a good job and where you're laughing. So what do you think your performance was? Do you think there was any qualms that the engagement leaders or your team has about your performance?",Neutral,Positive,"{'up', 'good'}"
41,"Yeah, no problem Rose. Now when you say that you did a good job on the engagement while working with me. Would you be able to list out the accomplishments that you had on that engagement? What exactly were you achievements what it accomplished home? And what makes you think that you're ready for the next role?",Neutral,Negative,{'no'}
42,I hear you're wanting to promote to manager. Can you tell me what specific actions that you've taken that have you ready for this level?,Neutral,Positive,{'ready'}
43,You said you did a good job. Can you tell me what specific actions that you feel were manager-level?,Neutral,Positive,{'good'}
44,"Hi Rose, excited to hear that you're interested in promotion. Can you tell me specifically what do you think is causing you to know that you're ready for that promotion?",Neutral,Positive,{'ready'}
45,"I am glad we are having this conversation, and happy to hear your thoughts on the engagement. Could you tell me more about what makes you think you are ready for a manager role?
",Neutral,Positive,"{'happy', 'ready'}"
46,"Hi, I think I'm really excited to hear that. You're looking forward to your promotion. However, before you take that on I think you'll need to address some of your current gaps in your job performance.",Neutral,Neutral,
47,I think it's good to good to hear. I'm glad we have this conversation because you're thinking about a big promoted to a manager as we start working towards a plan to understand how we can help you support that case. It's also important to understand what kind of feedback you get in.,Neutral,Positive,"{'kind', 'good'}"
48,"So Rose, thank you for taking time to meet with me. I think one of the first things that we have to take into consideration from a promotion standpoint is are we performing the highest of our ability on all areas? Are we performing higher than our peers on all areas? So I'd like to understand from you on your end. Are there areas that you feel that you could still improve on is their areas that you still feel like maybe you should go a little bit on so could we start there?",Neutral,Positive,{'one'}
49,"I'm glad that we are having this conversation and I am grateful to you for all your work that you have done. This is all great. And but I wanted to understand more about your kind of reflection and reasoning behind stepping up to manager. So can you elaborate a little bit more of your your work up to date and your strength and what kind of specific deliverables you are referring to? I am really curious to hear about, you know, some specific achievements that you have achieved so far and then we can of course discuss more and we can see how we are kind of progressing from this point on.",Neutral,Positive,"{'great', 'kind', 'up'}"
50,Hi Rose. Thanks for meeting with me today. I understand that you are ready or feel like you're ready for promotion and I am interested in talking with you about how you felt like you did a good job and the client is happy with your deliverables. Can you tell me more specifically about that?,Neutral,Positive,"{'ready', 'happy', 'good'}"
51,"Hi Rose, great to talk with you today. Thanks for setting this up. I know you're excited to get promoted to manager and that you feel like you've done a good job in the client is happy with your deliverables and your work. Can you tell me more about specifically why?",Neutral,Positive,"{'happy', 'great', 'up', 'good'}"
52,"Hi Rose, great to talk with you. You really feel like you did a great job and that the client was happy with your deliverables. Can you tell me a little bit more about what I'm thinking and why you think that was adequate for manager level work?",Neutral,Positive,"{'happy', 'great'}"
53,"Thank you Rose. I appreciate you sharing this with me. I understand that you feel based on your work on this engagement that say you are ready for a promotion. Is that correct? And if so, could you please elaborate on what specific activities that you have shown to demonstrate that you're ready for that next step?",Neutral,Positive,{'ready'}
54,"Thank you. Yes, I appreciate your sharing that with me. So you feel that your work has been exceptional on this project and the client has been happy and that you based on that you deserve to be promoted to manager. Could you elaborate on that a little bit more? I'd like to understand them specifically what aside from just delivery what other aspects that you feel you're deserving of the promotion.",Neutral,Positive,"{'happy', 'yes'}"
55,"Hi Rose, really exciting to hear that you are ready to get promoted to manager now is the next step. I'd like to understand. What is your contribution The Firm? Can you tell me more about your accomplishments working on this engagement or contributing to other e y initiatives I would like to understand why you think you should be promoted to manager in this year and are there any areas that you still need to work on?",Neutral,Positive,"{'now', 'ready', 'exciting'}"
56,"Hi Rose, but thank you. It's a great meeting with you, too. I do hear your message in terms of you feeling that you did a really good job on that engagement and that you do feel that your paperwork is warranting you to be promoted to manager. I do things that I hear what you're saying and I do want to take the time to think through some of the things that you did. Well, I do think that there were some areas that you did struggle in as well. So I did want to take some time to talk more further about that.",Neutral,Positive,"{'great', 'well', 'good'}"
57,"Hi Rose, thanks for sharing that I would like to understand what your feedback is for the year so far back. I understand that you think you've done a great job on the engagement. Let's talk about what are your accomplishments? Why do you think you deserve to be promoted to manager this year?",Neutral,Positive,{'great'}
58,"Thank you Rose for your for your feedback. You know, I did think that you did a really good job during your time on the engagement. I did think that there were some challenges and I'd like to take some time to elaborate on some of those challenges that you know, we had gone through and we had discussed that informal feedback during the time on the on the engagement.",Neutral,Positive,{'good'}
59,Thank you for sharing your perspective on on your performance appreciate that. So you're expecting a promotion to manager this year. Can you elaborate a little bit more in tell me what you've accomplished that prepares you for that new role?,Neutral,Neutral,
60,"Thank you for all your work this cycle, especially on the engagement. We worked on together and and your support and making the the client happy with our performance. I understand you are expecting a promotion to managers here as you think about your performance and what the expectation is for the manager role. Can you describe accomplished to meet those requirements?",Neutral,Positive,{'happy'}
61,Thanks for letting me know your your thoughts on the engagement and that you think you're ready to be promoted to manager. Can you elaborate a little bit on why you think you're ready to be promoted to manager?,Neutral,Positive,{'ready'}
62,I understand that. So let's take a little bit into your promotion and what you've done on the engagement. Can you help me understand? You know where the whole point was most satisfied and why you believe you should be promoted to manager.,Neutral,Positive,"{'believe', 'whole'}"
63,"Hi Rose, so I'm hearing that you are ready to be promoted to manager this year. And I do want to ask what would what specifically makes you feel ready to be a manager this year?",Neutral,Positive,{'ready'}
64,"Thank you Rose for scheduling this meeting and bringing this to my attention. I'm definitely happy to hear you think you're ready for the next step and ready for promotion to manager. Can you please elaborate or help me understand some of the key areas you worked on and things you think you did well, or why you think you're ready for this next step?",Neutral,Positive,"{'ready', 'happy', 'well'}"
65,"Rose, you know, thank you so much for bringing this to my attention. I'm definitely happy to have this conversation with you and I'm glad that we're having this feedback discussion. Can you elaborate for me on some of the areas you think you did well on or your work was pretty good on this engagement where the client was happy just so we can get a better understanding of your point of view.",Neutral,Positive,"{'happy', 'pretty', 'well', 'good'}"
66,"So I understand you you think you're ready for a promotion and at what I'd like for you to do is tell me the key areas that you feel that make you ready for a promotion for to manage your level. I understand that's really important to you and everybody that you why is looking to be promoted. I'm just curious as to tell me a little more around, you know, what specifically on this project warrants a package option in terms of quality work. And otherwise tell me a little more about that to help me understand your case.",Neutral,Positive,"{'quality', 'ready'}"
67,"So what do you feel makes you feel ready for promotion, you know specifically what are the key traits that you feel that you're displaying that our manager level today that you executed on this project.",Neutral,Positive,{'ready'}
68,"So promotion to manager, you know requires a lot more than just, you know, good work. And so I'm trying to understand what areas specifically do you feel that your your most successful at and and what areas do you feel that you can improve upon?",Neutral,Positive,"{'successful', 'good'}"
69,"Hi Rose, I'm glad we were able to sit down and talk as well. So you said that you feel that you're already for promotion to the manager role? What do you feel makes you ready for that transition?",Neutral,Positive,"{'ready', 'well'}"
70,Hi Rose. I'm also glad that we're able to sit down and talk about your work this past year. It seems like some of the reviews that you received were less than favorable. What particular do you think that you did very well.,Neutral,Positive,"{'favorable', 'well'}"
71,Rose let's can you help me understand and clarify some of the things that you've contributed to the project? That lady that leads you to think that you are ready for promotion. Let's talk more about these different scenarios and then continue the conversation from there.,Neutral,Positive,{'ready'}
72,"Hi Rose. Thanks for meeting with me today. So I understand you'd like to move up to a manager. You know, they'll tell me a little bit more about how you feel you perform in this project perhaps, you know, highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way?",Neutral,Positive,{'up'}
73,"Well Rose, thanks for sharing that with me. So I understand that you feel like you've done a great job on the client site. And you feel like you're ready for that next step. Can you share a little bit more with me as to why you feel like you're ready?",Neutral,Positive,"{'ready', 'great', 'well'}"
74,"Hi Rose. Well, thanks for for sharing this with me. Can you tell me a little bit more about your performance and what you did on your Club Insight? I love to hear more about you know what your business case is for manager.",Neutral,Positive,{'well'}
75,Thanks for letting me know of your desire to be promoted to manager. It's interesting to see that you believe that you've done very well in various different areas. Do you want to tell me a little bit more about the other projects that you worked on?,Neutral,Positive,"{'believe', 'well'}"
76,"Hi, Rose, Grayson know that you think that you are ready for this promotion. What do you think that you did to deserve this promotion?",Neutral,Positive,{'ready'}
77,"So you're ready to take on the promotion to manager, which is an additional responsibility. What do you think that you've done to deserve this promotion? Can you please elaborate
 a little bit more?",Neutral,Positive,{'ready'}
78,"So you're ready to take on the promotion to manager, which is an additional responsibility. What do you think that you've done to deserve this promotion? Can you please explain a little bit more?",Neutral,Positive,{'ready'}
79,What do you think that you've done to deserve the promotion that you're referencing?,Neutral,Neutral,
80,"Thank you so much for coming to me and sharing that you're ready for a promotion. It's really important to understand. You know, what has been the clients feedback. Well, I do see a room for growth what sets you apart elaborate tell me more about why this promotion is right for you.",Neutral,Positive,"{'ready', 'right', 'well'}"
81,"Thank you for coming to me to have this conversation. So I would like you to elaborate a little bit more on your experience on this team. You know, what was the client feedback did he have any feedback for you to improve your performance? We have gotten some indications that there were some performance issues during this so I like to understand where that discrepancy long as you know, do you see room for growth over the next year and what really sets you apart for a promotion to manager?",Neutral,Neutral,
82,"Thank you so much for this conversation. So to be clear you're looking for promotion and you feel like you've done the right work and the client is happy with your work home. It's important for us to focus over the next few weeks on how we're going to get you there. And also if you're ready for this change, it's going to be a tremendous amount of work. How are you prepared for the future?",Neutral,Positive,"{'prepared', 'happy', 'right', 'ready'}"
83,"It's great that you are thinking about your future and a promotion. Now, how do you think that your work over the next six months allow you for promotion. It's important to know what the feedback was from the client and how you can see yourself progressing in this role.",Neutral,Positive,"{'now', 'great'}"
84,How did you feel about the work that you turned into the client? What exactly did the clients feedback say about your work?,Neutral,Neutral,
85,Over the side like you to clarify further on your on your points about the satisfaction. But additionally we have to look at the project as a whole and the areas that we feel short on fell in the area of your responsibilities where the errors were not caught in it caused the budget to be over inflated with the customer.,Neutral,Negative,{'not'}
86,"Yep, then thanks Rose for approaching me for for this topic and and rather that you have, you know the ambition to step up and down to achieve more as you know, what everybody's wanted to do for the team. But let's take one step back when you when you talk about, you know, working this environment you feel like you know wage is happy and you're doing a great job. So could you tell me a little bit more of you know, small specific where you feel you have done such a great job so we can walk, you know analyze and you know move out.",Neutral,Positive,"{'happy', 'great', 'one', 'up'}"
87,"I'm very happy to be meeting with you today. However, I think that expectations may be a little bit out of line when it comes to promoting two managers so quickly. There are a few parts of disengagement that I'd like to talk with you specifically about where things can be improved and we can definitely get you on the track to manager.",Neutral,Positive,{'happy'}
88,Thank you Rose for taking the time today. Let's talk a little bit about the project and your your success is where you feel that the client fell you did a good job. And also you mentioned a little bit of something else on the project. I'd like to hear a little bit more about that.,Neutral,Positive,"{'success', 'good'}"
89,Thanks a rose for sharing your feelings on the engagement. So you are ready for the promotion. Would you please share your reasons for why you're ready for office manager role?,Neutral,Positive,{'ready'}
90,Thank you Rose for sharing your perspective on this engagement. So you're ready for the promotion. Could you please share your perspective on life? You're ready for the management role?,Neutral,Positive,{'ready'}
91,Thank you for the feedback. I'm glad so what is your perspective on your feedback on the performance and see why hire a liveable in a meeting deadlines are also very important.,Neutral,Neutral,
92,"Thanks for providing your thoughts on the engagement so far Rose, so you think you're ready to be promoted to manager. Can you tell me more on why you think you're ready for this promotion wage?",Neutral,Positive,{'ready'}
93,So you're ready to be promoted to manager. Can you provide some specific examples that you're discussed such as what specific deliverables the client was happy with.,Neutral,Positive,"{'happy', 'ready'}"
94,Can you expand on some of the examples you discuss such as what specific deliverables the client was happy with?,Neutral,Positive,{'happy'}
95,"Hi Rose, happy to hear that you feel you're ready for the promotion. This is good news. Could you further elaborate and go deeper? Why you you think or you believe you're ready for the promotion and if you have any examples of situations you performed as expected.",Neutral,Positive,"{'ready', 'happy', 'believe', 'good'}"
96,"Hi Rose, happy to hear that you feel you're ready for the promotion. This is good news. Could you phone number eight and go deeper? Why you are you think you're we believe you're ready for the promotion and if you have any examples off of situations you performed as expected.",Neutral,Positive,"{'ready', 'happy', 'believe', 'good'}"
97,Hi Rose. I'm happy to have this conversation with you. It's really good to have the client happy with your work. But let me ask you can you further elaborate and maybe if you can provide me some examples of some situations where you believe you performed as expected those would be variable results.,Neutral,Positive,"{'happy', 'believe', 'good'}"
98,"Hi Rose, well, great to have this conversation with you. I'm happy and the client is like your work but we need to check what are the the criteria's for a promotion? So I'm wondering have you checked the expectations guide? Are you sure you are performing wage according to what it's expected for a senior and probably what is expected for a manager. Let me know your thoughts.",Neutral,Positive,"{'happy', 'great', 'well'}"
99,For sharing with me that you're ready for your promotion. Can you elaborate on why you think you're ready to take on the manager role?,Neutral,Positive,{'ready'}
100,Thanks for letting me know. Can you provide some additional information?,Neutral,Neutral,
101,"Hey Rose, happy to talk to you today. So you said you think you're ready to promote to manager. You also say that that you think the client was happy with you working your deliverables wage. Can you elaborate a little bit further on why you think you're ready to promote to manager this year?",Neutral,Positive,"{'happy', 'ready'}"
102,So you're saying that you are you think you're ready to promote this year to manager? You also stated that you think the client was happy with your work and deliverables. Is that correct?,Neutral,Positive,"{'happy', 'ready'}"
103,"Hi Rose, thanks for taking the time to discuss your contributions on the most recent engagement. So you think you're ready for promotion. Can you tell me a little bit more about why you feel the need to take on a manager role?",Neutral,Positive,{'ready'}
104,Hi Rose. Thank you for bringing up. Thank you for taking the time to speak with me about your performance. Let me start by asking you what you think you could have done differently that could have improved your performance overall.,Neutral,Positive,{'up'}
105,"Heroes thanks for checking. Yeah. I think you did a good job for sure. Just want to know more about how you are performing at the next level to get the promotion. So I would like to know more about what are the things you have done based on the next level engage Next Level, you know for you to get promoted, especially like give me some concrete example where you think that you have performed at the international level, and then also tell me like where you feed that you you are facing some challenges so that I can help you on that those direction as well. So I would be happy to listen message from you about your perspective with the example for the for the visual Next Level responsibility so that I can help you. So thank you very much.",Neutral,Positive,"{'happy', 'well', 'good'}"
106,Heroes thanks for for checking with me and hope all is well at your end. You just want to know more about what extra you have done how you're performing at the next level to to support your promotion. So do you mind to provide me some more insight about your current engagement or your past engagement within a year so that I can help you? Thank you very much.,Neutral,Positive,{'well'}
107,"Heroes thanks for checking. I'm can you please elaborate more about what extra you have done in your current engagement, and then you're you know past engaging with in here to to support your case for forever next level of promotions. I would like to more no more details so that I can you know help you in in a better way. So thank you very much.",Neutral,Negative,{'no'}
108,"And was thank you for checking with me and I hope all is well at your end. Yeah, great. I mean I would definitely support you down based on the business drivers and then then your feedback for very promotions. I will like to know more about the different skills of the you know, the the drivers for the for the Performing the promotion criteria. Where do you fit yourself? And can you please please elaborate about like what specifically you have done extra based on the next level in your new current engagement or on the past engagement within a year so that I can you know help Hellman and and engage and then provide, you know appropriate situation and help you out. Thank you very much.",Neutral,Negative,{'mean'}
109,"Heroes thanks for checking this one to about your you know aspirations to be get promoted at the next level and Thursday. I want to know more about like how do you scale yourself in terms of the you know different, you know competency and to get promoted like the professional leadership is person leader skill skips cuz client level skills. I know you mentioned that you have done great work and I would like to know that how do you want to rate yourself off? And then how you're performing at the next hour? Can you please provide some more examples so that I can you know understand more and then help you in in in in a better way. Thank you very much.",Neutral,Positive,"{'great', 'one'}"
110,Heroes thanks for checking and hope all is well at your end and just want to you know know more about what is dead. What do you think?,Neutral,Negative,{'dead'}
111,"Okay, then Rose. Thank you for checking. Yeah, I just want to understand more about did you meet all the business drivers off technical competence a professional leadership skills as per the requirement mentioned for you to perform at the next level. So I need to know more about about you from from from from your perspective based on the the different, you know criteria where you think that you can fit and and how long going to your compared the performance you are getting feedback. You're getting a cause of the different projects.",Neutral,Positive,{'okay'}
112,"Thanks for reaching out to me Rose. Can you elaborate a little bit and you know, tell me some key areas that you feel like you're excelling at is worse as well some areas that you've identified for improvement.",Neutral,Positive,{'well'}
113,You say that you're ready for promotion. Why do you feel this way? What work have you done that you feel that you deserve a promotion this year? What are some areas that you can improve on?,Neutral,Positive,{'ready'}
114,Thank you so much for sharing. Why do you believe that the promotion should happen this year? What are some other things you can work on? Do you feel that there's any areas that you are that you can use for improvement during this time?,Neutral,Positive,{'believe'}
115,"Rose thank you for sharing your thoughts and most of all what I'm hearing in what you're saying to me is that long you'd like to be promoted to manager, which I can understand completely and what I'd like to do is maybe talk to you a little bit more about that and just get some more details from you. You shared that you've done really well with the engagement and that the client is pleased with your work. And so I was hoping that we could talk a little bit more about that.",Neutral,Positive,{'well'}
116,Rose thank you for sharing that feedback. And the way that you have approached your work has been great. It's been a real pleasure to work with you. I really appreciate the thoroughness that you have in presenting how you feel about moving towards being a manager and I am looking forward to talking to you more about that.,Neutral,Positive,"{'great', 'moving'}"
117,"Thanks so much for sharing a little bit more about why your promotion Readiness and and your thoughts on the next step in your career. It sounds like you believe that you know, your experiences the past couple of months and your accomplishments the past couple of months indicate that you're ready for the next step to manager. If you tell me a little bit more about what particular skills and accomplishments you've made in the past couple of months or even year that indicate that you're ready for promotion. I just love you to elaborate a little more.",Neutral,Positive,"{'believe', 'ready'}"
118,Thanks for sharing your thoughts on promotion Readiness Rose is a great conversation to have an important one. It sounds like you feel like based on your performance the past couple of months you believe that you're ready for promotion to manager in particular what skills or deliverables or accomplishments? Do you think you've made over the past couple of months or even year that indicate that you're ready for promotion?,Neutral,Positive,"{'ready', 'believe', 'great', 'one'}"
119,"Thanks for sharing your your thoughts on your promotion progression Rose. It sounds like you know, you really feel like based on your performance the past few months off this engagement. You are ready for promotion, what what skills and and wage, you know particular, you know deliverables or achievements. Do you think indicate your",Neutral,Positive,{'ready'}
120,Why do you think the promotion will happen this year? It makes you think that you're ready.,Neutral,Positive,{'ready'}
121,Rose I understand that you did you succeeded in this this implementation the I want to question you to understand a little bit more about why you think you're ready for a promotion and what you think goes into that?,Neutral,Positive,{'ready'}
122,"Rose I understand that you are in happy with engagement in the the client is happy, but that's not everything that builds into a promotion.",Neutral,Negative,{'not'}
123,Thanks rules for sharing on how that engagement how well you did on that particular engagement. What did you think work? Well on the engagement and what did you think you could have improved on your next step you mentioned is that you'll for promotion? So tell me why you feel you're ready for promotion to manager. What did you do? So well on on this particular engagement that you think makes you ready for the next step to be promoted to manager.,Neutral,Positive,"{'ready', 'well'}"
124,"Thanks rules that you felt that this work on this engagement went. Well. What do you think went? Well on the engagement are there any errors of development you think you could have worked on Thursday? And you know, let me know. What do you think?",Neutral,Positive,{'well'}
125,Rose we've definitely had enjoyed having you on the team. I hear that she you know feel you're ready to move into the manager role. Could you share a little bit more background in terms of what you think you've been doing well and why you feel ready for this role?,Neutral,Positive,"{'ready', 'well'}"
126,"Rose we've enjoyed having you on the team and understand you, you know had some strong points and you know believe you you did a good job. What do you think you exchange that particularly?",Neutral,Positive,"{'believe', 'good'}"
127,"Hi Rose, thank you for sharing your thoughts. And I really radius radius support here Thursday with your promotion. Just please can you share more details? Why do you think you are ready for promotion any summary of a completed work off highlights, maybe key items the most critical one, which will be really supportive for your promotion.",Neutral,Positive,"{'ready', 'one'}"
