original,regular,Enhanced,Azure,AWS,Google_regular_letter,Google_Enhanced_letter,Azure_letter,AWS_letter,Google_regular_word,Google_Enhanced_word,Azure_word,AWS_word
hi rose  great to talk with you today  thanks for setting this up  i know you re excited to get promoted to manager and that you feel like you ve done a good job in the client is happy with your deliverables and your work  can you tell me more about specifically why  ,pyro s  great talk with you today  thanks for setting sub  i know you are excited to get promoted to manager and that you feel like you have done a good job in the client is happy with your deliverables and your work  can you tell me where it was for hawaii  ,hi rose great talk with you today thanks for setting this up i know you are excited to get promoted to manager and that you feel like you have done a good job in the client is happy with your deliverables and your work can you tell me more about specifically  why ,hi rose great talk with you today thanks for setting this up i know you are excited to get promoted to manager and that you feel like you have done a good job in the client  is happy with your deliverables and your work can you tell me more about specifically why ,higher us  great talk with you today  thanks for setting this up  i know you are excited to get promoted to manager and that you feel like you have done a good job in decline is happy with your deliverables and your work  can you tell me more about specifically why ,77.0398482,82.70676692,84.21052632,90.63670412,79.24528302,94.33962264,94.33962264,86.79245283
nina  i really appreciate that you invested so much time and wanted to do a stellar job on your first engagement at the firm  but you own your performance and you own your commitment to meeting deadlines  there are a number of resources available to us all in terms of getting help asking teammates and colleagues  i d be happy to show you how to look back at some of those things  but in terms of the overall performance  we can t let this happen again  so what do you think you could take as next steps in order to prevent this from happening again ,nina i really appreciate that you invested so much time and wanted to do a stellar job on your first engagement the firm  but you own your performance and you own your commitment to meeting deadlines  there are number of resources available to us all in terms of getting help asking teammates and colleagues  i d be happy to show you how to look back on some of those things  but in terms of the overall performance we can t let this happen again  so  what do you think you could take as next steps in order to prevent this from happening again  ,nina  i really appreciate that  you invested so much time at wanted to do a stellar job on your first engagement at the firm but you own your performance and you own your commitment to meeting deadlines there are a number of resources available to us all in terms of getting help asking teammates and colleagues i d be happy to show you how to look back on some of those things but in terms of the overall performance  we can t let this happen again so what do you think you could take as next steps in order to prevent this from happening again ,nina  i really appreciate that you invested so much time and wanted to do a stellar job on your first engagement at the firm but you own your performance and you own your commitment to meeting deadlines there are a number of resources available to us all in terms of getting help  asking teammates and colleagues i d be happy to show you how to look back on some of those things but in terms of the overall performance  we can t let this happen again so what do you think you could take as next steps in order to prevent this from happening again ,nina  i really appreciate that  you invested so much time and wanted to do a stellar job on your first engagement at the firm  but you own your performance and you own your commitment to meeting deadlines  there are a number of resources available to us all in terms of getting help  asking team mates and colleagues  i d be happy to show you how to look back on some of those things  but in terms of the overall performance  we can t let this happen again  so what do you think you could take as next steps in order to prevent this from happening again ,74.74931632,80.94804011,81.23861566,99.36651584,97.14285714,98.0952381,99.04761905,98.0952381
proactively asking the right questions and getting the right training is key  you have to take ownership of your performance and development  there s a number of resources provided by ey to develop your skills  let s identify these and use them to improve your performance ,proactively asking the right questions and getting the right training is key  you have to take ownership of your performance and development  there s a number of resources provided by ey to develop your skills  what s identify these and use them to improve your performance  ,proactively asking the right questions and getting the right training is key you have to take ownership of your performance and development there s a number of resources provided by ey to develop your skills let s identify these and use them to improve your performance ,proactively asking the right questions and getting the right training is key you have to take ownership of your performance and development there s a number of resources provided by e to develop your skills let s identify these and use them to improve your performance ,proactively asking the right questions and getting the right training is key  you have to take ownership of your performance and development  there s a number of resources provided by ey  to develop your skills  let s identify these and use them to improve your performance  mhm ,77.00729927,76.61141805,67.52767528,67.75362319,97.82608696,100,97.82608696,100
at ey we offer a lot of different training  opportunities for you   you can do training modules online or connect with your peer advisor  you need to be proactive in getting the training you need when you are unclear on something  ,at me why we offer a lot of different training opportunities for you  you can do training modules online or connect with your period bizer  you need to be proactive and getting the training you need when you re unclear on something  ,anyway  we offer a lot of different training opportunities for you you can do training modules online or connect with your peer advisor you need to be proactive in getting the training you need when you re unclear on something ,that is why we offer a lot of different training opportunities for you you can do training modules online or connect with your peer advisor you need to be proactive in getting the training you need when you re unclear on something ,at ey  we offer a lot of different training opportunities for you  you can do training modules online or connect with your period visor  you need to be proactive in getting the training you need when you re unclear on something ,41.81034483,70.74235808,69.6969697,87.58169935,85.36585366,90.24390244,90.24390244,87.80487805
you said you did a good job  can you tell me what specific actions that you feel were manager level ,you said you did a good job can you tell me what specific actions that you feel her manager level  ,you said you did a good job  can you tell me what specific actions that you feel were manager level ,you said you did a good job  can you tell me what specific actions that you feel were manager level ,you said you did a good job can you tell me what specific actions that you feel will manage your level ,97.48743719,100,100,76.47058824,95,100,100,85
i think it s good to good to hear  i m glad we have this conversation because you re thinking about a big promoted to a manager as we start working towards a plan to understand how we can help you support that case  it s also important to understand what kind of feedback you get in ,i think it s good to hear  i m glad we have this conversation because you thinking about a big promotion to manager as we start to understand  ,i think it s good to hear i m glad we are we have this conversation because you re thinking about a big promotion to a manager as we start working towards a plan  to understand how we can help support your case  it s also important to understand what kind of feedback you get in ,i think it s good to hear i  i m glad we are  we have this conversation because you re thinking about a big promotion to manager as we start working towards a plan to understand how we can help support your case  it s also important to understand what kind of feedback you get in ,i think it s good to hear  i m glad we are  we have this conversation because you re thinking about a big promotion to a manager as we start working towards a plan to understand how we can help support your case  it s also important to understand what kind of feedback you get in ,65.72769953,59.78647687,59.68028419,59.68028419,47.36842105,91.22807018,89.47368421,91.22807018
hi rose  i m glad we have a chance to talk  i understand that you feel that  you did a real good job on the client project and i d like to hear a little bit more about your contributions  and and and just how you feel that that you did a good job with the client  just you know  any feedback that you can give me about some things you heard may also  you know  i d like to talk to you a little bit more about why you believe that you re ready for promotion  i think it s important to kind of understand where you re at from your perspective so i can give you a mind perspective as well ,hi rose i m glad we have a chance to talk  i understand that you feel that  you did not have a good job on the pipeline project  ,hi rose  i m glad we have a chance to talk i understand that you feel that you did not have a grill  good job on the client project and i d like to hear a little bit more about your contributions and and and and and just how you feel that you did a good job with the client just you know any feedback that you give me about some things you all heard may also  you know  i d like to talk to you a little bit more about why you believe that  you re ready for the promotion  i think it s important to kind of understand where you are from your perspective so i can give you a mind perspective as well ,hi rose  i m glad we have a chance to talk i understand that you feel that you did not have a grill  good job on the client project and i d like to hear a little bit more about your contributions ,hi rose  i m glad we have a chance to talk  i understand that you feel that you did not have a real good job on the client project  and i d like to hear a little bit more about your contributions  mm and and and and and just how you feel that you did a good job with the client  just  you know  any feedback that you give me about  some things you all heard may also  you know  i d like to talk to you a little bit more about why you believe that you re ready for the promotion  i think it s important to kind of understand where you are from your perspective so i can give you a mind perspective as well ,32.72727273,72.63513514,46.80306905,83.96305626,20.32520325,95.93495935,31.70731707,96.74796748
hey rose  happy to talk to you today  so you said you think you re ready to promote to manager  you also say that that you think the client was happy with you working your deliverables wage  can you elaborate a little bit further on why you think you re ready to promote to manager this year ,who s happy to talk to you today  so you said you think you are ready to promote to manager  you also said that that you think the client was happy with you working you would deliver will space  can you elaborate a little bit further on why you think you are ready to promote a manager this year  ,heroes  happy to talk to you today so you said  you think you are ready to promote to manager you also say that that you think the client was happy with you  working your deliverables wage can you elaborate a little bit further on why you think you re ready to promote to manager this year ,heroes happy to talk to you today so you said you think you are ready to promote to manager you also say that that you think the client was happy with you working your deliverable swish can you elaborate a little bit further on why you think you are ready to promote to manager this year ,heroes happy to talk to you today  so you said you think you are ready to promote to manager  you also say that that you think the client was happy with you working your deliverable stage  can you elaborate a little bit further on why you think you re ready to promote to manager this year ,40.06791171,68.04123711,42.4137931,78.00687285,82.45614035,94.73684211,87.71929825,89.47368421
thank you so much for this conversation  so to be clear you re looking for promotion and you feel like you ve done the right work and the client is happy with your work home  it s important for us to focus over the next few weeks on how we re going to get you there  and also if you re ready for this change  it s going to be a tremendous amount of work  how are you prepared for the future ,thank you so much for this conversation  error to be clear you are looking for promotion and you feel like you have done that right work on the client is happy with your welcome  it s important for us to focus forward the next  few weeks on how we re going to get you this  and also if you are ready for this change  it s going to be a tremendous amount of work  how are you prepared for the future  ,thank you so much for this conversation so to be clear  you are looking for promotion and you feel like you have done the right work on the client is happy with your work home it s important for us to focus over the next few weeks on how we are going to get you there and also  if you are ready for this change it s going to be a tremendous amount of work how are you prepared for the future ,thank you so much for this conversation so to be clear  you are looking for promotion and you feel like you have done the right work on the client is happy with your work home it s important for us to focus forward the next few weeks on how we are going to get you there and also if you are ready for this change it s going to be a tremendous amount of work how are you prepared for the future ,thank you so much for this conversation  so to be clear  you are looking for promotion and you feel like you have done the right work and the client is happy with your work home  it s important for us to focus forward the next few weeks on how we are going to get you there  and also  if you are ready for this change  it s going to be a tremendous amount of work  how are you prepared for the future ,47.02907712,48.53128991,39.23566879,73.98989899,87.80487805,93.90243902,92.68292683,93.90243902
rose i understand that you did you succeeded in this this implementation the i want to question you to understand a little bit more about why you think you re ready for a promotion and what you think goes into that ,i understand that you did you succeeded in this this implementation  i want to question you to understand a little bit more about  why you think you are ready for your promotion  and what you think goes into that  ,i understand that you did you succeeded in this  this implementation the  i want to question you to understand a little bit more aboutwhy you think you are ready for your promotion and what you think goes into that ,truth  i understand that you did  you succeeded in this this implementation the i want to question do to understand a little bit more about why you think you are ready for their promotion and what you think goes into that ,truth i understand that you did  you succeeded in this this implementation that i want to question you to understand you a little bit more about why you think you are ready for your promotion and what you think goes into that ,96.03729604,96.74418605,82.8375286,82.99319728,90.24390244,87.80487805,90.24390244,90.24390244
hi rose  thank you for bringing this to my attention  so if i m hearing you right based on your performance on our last engagement and based on your belief that the client was satisfied with your deliverables and with your work  you believe that you are up for promotion this year  can you tell me a little bit more about the other projects you ve been working on in your performance with those ,hi rose  thank you for bringing this to my attention  so if i m hearing you right  based on your performance on our last engagement  based on your belief that the client was satisfied with your deliverables and with your work  you believe that you were up for promotion this year  can you tell me a little bit more about the other projects that you ve been working on in your performance  with those  ,hi rose thank you for bringing this to my attention so  if i m hearing you  right based on your performance on our last engagement and based on your belief that the client was satisfied with your deliverables and with your work you believe that you are up for promotion this year can you tell me a little bit more about the other projects that you ve been working on in your performance with those ,hi rose thank you for bringing this to my attention so if i m hearing you right based on your performance on our last engagement and based on your belief that the client was satisfied with your deliverables and with your work you believe that you were up for a promotion this year can you tell me a little bit more about the other projects that you ve been working on in your performance with those,hi rose thank you for bringing this to my attention  so if i m hearing you right  based on your performance  on our last engagement and based on your belief that the client was satisfied with your deliverables and with your work  you believe that you were up for promotion this year  can you tell me a little bit more about the other projects that you ve been working on in your performance with those ,36.93467337,93.31651955,90.79445145,98.61982434,97.2972973,100,98.64864865,98.64864865
so you think you re ready for promotion  can you tell me why you think that is ,so you think you re ready for promotion  can you tell me why you think that is  ,so  you think you re ready for a promotion can you tell me why you think that is ,so you think you re ready for promotion can you tell me why you think that is ,so you think you re ready for promotion  can you tell me why you think that is ,99.37106918,97.5,99.36305732,100,100,100,100,100
do you think you re ready for promotion ,do you think you re ready for promotion  ,do you think you re ready for a promotion ,do you think you re ready for a promotion ,do you think you re ready for promotion ,98.7654321,97.56097561,97.56097561,100,100,100,100,100
is all red violets are blue  i m bored of this  how about you ,is all red violets are blue  i m bored of this  how about you  ,he s all red  violets are blue i m bored of this how about you ,he s all red  violets are blue i m bored of this how about you ,it s all red violets are blue  i m bored of this  how about you ,99.2,94.4,94.4,98.41269841,100,92.85714286,92.85714286,92.85714286
thanks for sharing all of this information with me  can you help me understand  what areas that you think the client was really particularly happy with and what deliverables do you think you excelled in  i d like understand how these reflect your promotion to  your  manager ,thanks for sharing all of this information with me  can you help me understand  what areas do you think the client was really particularly happy with  and what deliverables do you think you excelled in  about to understand how these reflect your promotion  your manager  ,thanks for sharing all of this information with me can you help me understand what areas do you think the client was really particularly happy with and what deliverables do you think you excelled in i d like to understand how these reflect your promotion to your manager ,thanks for sharing all of this information with me can you help me understand what areas do you think the client was really particularly happy with and what deliverables do you think you excelled in i d like to understand how these reflect your promotion to your manager ,yeah  thanks for sharing all of this information with me  can you help me understand what areas do you think the client was really particularly happy with  and what deliverables do you think you excelled in  i d like to understand how these reflect your promotion to your manager ,76.55677656,61.53846154,61.53846154,54.05405405,89.36170213,97.87234043,97.87234043,97.87234043
well rose  thanks for sharing that with me  so i understand that you feel like you ve done a great job on the client site  and you feel like you re ready for that next step  can you share a little bit more with me as to why you feel like you re ready ,melrose thanks for sharing that with me  but i understand you feel  you did a great job on the client site  and you feel like you re ready for that next step  can you share a little bit more with me as to why you feel like you re ready  ,well rose  thanks for sharing that with me i understand that you feel did a great job on the client site and you feel like you re ready for that next step can you share a little bit more with me as to why you feel like you re ready ,well rose  thanks for sharing that with me well  i understand that you feel you ve done a great job on the client site and you feel like you re ready for that next step can you share a little bit more with me as to why you feel like you re ready ,well  rose  thanks for sharing that with me  well  i understand that you feel you ve done a great job on the client site and you feel you re ready for that next step  can you share a little bit more with me as to why you feel like you re ready ,12.29508197,37.68115942,36.61971831,25.45454545,87.03703704,90.74074074,96.2962963,94.44444444
thanks for letting me know  can you provide some additional information ,for letting me know  can you provide some additional information  ,thanks for letting me know can you provide some additional information ,thanks for letting me know can you provide some additional information ,thanks for letting me know  can you provide some additional information ,94.20289855,99.3006993,99.3006993,100,90.90909091,100,100,100
rose i think you ve done good work  there are a couple of milestones that you need to match to get to the next level ,rose i think you ve done good work  there are a couple of milestones that you need to match to get to the next level  ,rose  i think you ve done good work there are a couple of milestones that you need to match to get to the next level ,rose  i think you ve done good work there are a couple of milestones that you need to match to get to the next level ,rose  i think you ve done good work  there are a couple of milestones that you need to match to get to the next level ,99.57446809,99.14529915,99.14529915,99.57446809,100,100,100,100
hey rose ,hey rose  ,hey rose ,hey rose ,hey rose ,94.73684211,100,100,100,100,100,100,100
hi rose  thanks so much for meeting with me today  it s great to hear that you re doing a good job  for  the client and that they re happy with your work  it definitely sounds like you re ready to consider a promotion to manager  can you elaborate a little bit more about what that means for you  please elaborate on the qualities and skills and capabilities that you have that demonstrate your readiness for promotion ,hi rose  thanks so much for meeting with me today  it s great to hear that you re doing a good job for the client and if they re happy with your work  it definitely sounds like you re ready to consider promotion to manager  can you elaborate a little bit more about what that means for you  please elaborate on the qualities and skills and capabilities that you have  that demonstrate your readiness for promotion  ,hi rose thanks so much for meeting with me today it s great to hear that  you re doing a good job for the client and that they re happy with your work it definitely sounds like you re ready to consider a promotion to manager can you elaborate a little bit more about what that means for you please  elaborate on the qualities and skills and capabilities that you have that demonstrate your readiness for promotion ,hi rose thanks so much for meeting with me today it s great to hear that you re doing a good job for the client and that they re happy with your work it definitely sounds like you re ready to consider a promotion to manager can you elaborate a little bit more about what that means for you please elaborate on the qualities and skills and capabilities that you have that demonstrate your readiness for promotion ,hi rose thanks so much for meeting with me today  it s great to hear that you re doing a good job for the client and that they re happy with your work  it definitely sounds like you re ready to consider a promotion to manager  can you elaborate a little bit more about what that means for you  please elaborate on the qualities and skills and capabilities that you have that demonstrate your readiness for promotion ,86.81055156,97.4789916,99.1576414,99.64071856,97.4025974,100,100,100
interesting  tell me more about why you are expecting to get promoted ,interesting  tell me more about why you are expecting to get promoted  ,interesting tell me more about why you are expecting to get promoted ,interesting tell me more about why you are expecting to get promoted ,interesting tell me more about why you are expecting to get promoted ,99.29078014,99.28057554,99.28057554,99.28057554,100,100,100,100
thanks for sharing this with me rose  so you think you re ready to be a manager  tell me  why do you think that is ,thanks for sharing this with me rose  so you think you re ready to be a manager  tell me  what do you think that is  ,thanks for sharing this with me rose so you think you re ready to be a manager tell me what do you think that is ,thanks for sharing this with me  rose so you think you re ready to be a manager tell me why do you think that is ,thanks for sharing this with me  rose  so you think you re ready to be a manager  tell me why do you think that is ,98.27586207,97.36842105,98.24561404,99.13043478,96,96,100,100
rose we ve enjoyed having you on the team and understand you  you know had some strong points and you know believe you you did a good job  what do you think you exchange that particularly ,cruise we have enjoyed and having you on the team and understand you  you know  had some strong points and you know believe you  qt  good job  what do you think you exchanged that particularly  ,rose  we have enjoyed and having you on the team and understand youyou know had some strong points and  you know  believe you you did a good job what do you think you exchange that particularly ,rose  we have enjoyed and having you on the team and understand you you know had some strong points and you know  believe you you did a good job what do you think you exchange that particularly ,rules we have enjoyed and having you on the team and understand you  you know  had some strong points and you know  i believe you you did a good job  what do you think you exchange that particularly ,94.2408377,96.85863874,97.38219895,96.12403101,83.33333333,91.66666667,97.22222222,94.44444444
so you re ready to take on the promotion to manager  which is an additional responsibility  what do you think that you ve done to deserve this promotion  can you please elaborate a little bit more ,so you are ready to take on the promotion to manager which is an additional responsibility what do you think that you have done to deserve this promotion can you please elaborate a little bit more  ,so you are ready to take on the promotion to manager which is an additional responsibility  what do you think that you have done to deserve this promotion  can you please elaborate a little bit more ,so you are ready to take on the promotion to manager  which is an additional responsibility ,so you are ready to take on the promotion to manager  which is an additional responsibility  what do you think that you have done to deserve this promotion  can you please elaborate a little bit more ,98.2278481,98.98989899,62.97577855,99.24433249,94.44444444,94.44444444,41.66666667,94.44444444
hi rose  happy to hear that you feel you re ready for the promotion  this is good news  could you further elaborate and go deeper  why you you think or you believe you re ready for the promotion and if you have any examples of situations you performed as expected ,pyro s happy to hear that you feel  you are ready for the promotion this is good news could you further elaborate and go deeper why you you think or you believe you are ready for the promotion and if you have any examples of situations you have performed as expected  ,pyro s  happy to hear that  you do feel you are ready for the promotion  this is good news  could you further elaborate and go deeper  why you you think or you believe  you are ready for the promotion  and if you have any examples of situations  you are performed as expected ,hi rose  happy to hear that you you feel you are ready for the promotion  this is good news ,kairos happy to hear that you feel you are ready for the promotion  this is good news  could you further elaborate and go deeper  why you you think or you believe you are ready for the promotion and if have any examples of situations  you are performed as expected ,72.93233083,70.37037037,48.87640449,69.18714556,92,92,34,90
