questionType,asin,answerTime,unixTime,question,answer,answerType
open-ended,B00002N60G,"Dec 28, 2014",1419753600.0,How long does the handle extend to?,The handle extends to that of a standard mop; and it retracts to about half the length......about the middle of the pole. You'll love this mop! Hope this helps ;-),
open-ended,B00002N60G,"Mar 23, 2014",1395558000.0,http://www.amazon.com/gp/product/B001...,"Amazon is requesting an answer, but there is not question. If you have this mop, the refill is wonderful. This mop will last a long time. You probably won't need a refill for years. Best mop I've even had. Excellent for hard wood floors.",
open-ended,B00002N60G,"Mar 22, 2015",1427007600.0,"I have rubber foam puzzle locking mats down on my daycare floor, will this mop work on them and not shred like the sponge ones do?",NO. It will likely fall apart right away.,
open-ended,B00002N60G,"May 15, 2014",1400137200.0,I watched YouTube videos. I see the mop is still dirty after rinse. Does the rinse get the mop clean? If not how do you get the mop clean?,"It depends on how much dirt is being picked up, but even when I've had a mess to clean up it only takes a few rinses to get the water from the mop to run clear. So far I've found it to be a good mop- but you really must get the mophead completely wet before you can squeeze it - otherwise it's improssible to get the handle that squeezes the mophead to work. Once it's wet though, it works fine. It is slightly larger than other sponge mops I've used which makes cleanup quicker and the mophead is dense and sturdy.",
yes/no,B00002N60G,"Nov 4, 2014",1415088000.0,Is this acid/urine resistant? To be used in an animal care facility and most mops come apart shortly.,"I think this would be your best bet. You must presoak the mop head adequately before use. The first time I used the replacement I soaked the head for an hour. Hubby said we should make sure it was wet clear to the core. Since then I have never had to resoak since it is in constant use. I use castlie soap and clorox in my water. There is constantly a bucket of clean water sitting around. I do not leave the mop in the water. I clean after use and wring out well. Then I just leave it sitting next to the bucket. With 2 shelter rescues and a 5 month-old puppy mill rescue, it is in constant use. Urine on the floor is the norm around here. Nothing has affected the mop head. There are no bits and pieces of foam coming off of the head even after the daily abuse. Constantly using the clorox has not harmed it. You will feel the head soften a bit over time which has allowed me to use it on a tiled floor and still get the grout clean. I hate mopping and this is the first one that I actually like using. It has been in constant use since June and the head is still in great shape. Also, unlike other mops, the head is secured to the handle with large screws. No breaking of plastic nuts or poles causing replacement before the head is actually totally worn out. I believe that this is the perfect mop for your facility. It will definitely be getting the kind of abuse that I give it everyday.",?
open-ended,B00002N60G,"Dec 21, 2014",1419148800.0,Can I use bleach with this mop? or does it dissolve?,I have no used bleach with this mop- I would put Clorox Clean-Up on the tile area that was dirty and later mopped it up with my other sponge mop being wet at the time. Not sure about straight clorox. I generally use white cleaning vinegar to make the floor nice and clean but sometimes bad spots do need cleaing Clorox.,
open-ended,B00002N6RY,"Dec 26, 2014",1419580800.0,"Is this appropriate for a dog facility that is constantly vacuuming up hair from grooming, or is the standard fine?","It is the standard fine, but if you use it with the filter that's already there it may be easier to clean the filter faster. It also may cut down on how often you have to clean the filter. I'm thinking this sleeve may catch most of the pet hair.",
yes/no,B00002N6RY,7 days ago,,"will this fit a ""Stinger"" Wet/Dry Vac?",Don't know. Not familiar withe the stinger.,N
open-ended,B00002N6RY,"Mar 9, 2015",1425884400.0,How does this attach to the Shop-Vac? Do you take off the cylindrical-shaped filter or does it fit over that filter?,"Hi! The cylindrical shaped filter Is for dry waste.. it comes off and this foam filter is used in its place for water, with the paper vacuum bag also removed.",
yes/no,B00002N6RY,"Oct 15, 2014",1413356400.0,Is this a product replacement for Foam Sleeve 905-2600?,"no, new item to try out. so far so good.",N
yes/no,B00002N6RY,"Jan 24, 2015",1422086400.0,Will this sleeve fit a 12 gallon wet/dry Shop Vac?,I bought this one for a one gallon wet/dry vac so I doubt it will fit a 12 gallon one. You will need to get one for your size vac.,?
yes/no,B00002N6RY,"Jun 7, 2014",1402124400.0,Will this foam sleeve replace a # 90526-00? It is for model # QMH 45A.,I am not sure about that but it sure as heck did not fit the vac I have after it was shown to fit my model.,?
yes/no,B00002N6RY,"Aug 24, 2014",1408863600.0,"Will this fit a Rigid shop vac? Their cartridges are 6.5"" W X 9"" H","No. The housing your trying to cover extends approximately 9"" down and this foam sleeve is approximately 5"" tall. That means their is approximately 4"" of uncovered housing that will be subject to sucking up water into areas it shouldn't be.",N
yes/no,B00002N6RY,"Jan 18, 2014",1390032000.0,will this foam filter fit L250? Sticker on vac says use foam 90585/064911.,"I don't know what an L250 is. I know for certain that it will work for a 5 gal. and 14 gal. Shop Vac., because I have both sizes. These filters go over the motor housing, not over a cartridge filter. If used alone, it is only for wet pick-up, not dry. Use some other option or combination for dry: cartridge filters, disposable bags, or reusable paper filters. Once, when I bought a new shop vac it came with a slightly larger , orange foam filter that was specially designed to fit over a cartridge filter. It was a very useful combination, but this particular item doesn't seem to be available any more.",?
open-ended,B00002N6RY,"Jan 13, 2014",1389600000.0,You have 3 sizes for the 9058500 round foam sleeve filter 12.5 x 7.2 x x9.9 please explain,"Ignore it. These ones are for any standard Shop-Vac brand vac. It will also fit a Bissell Carpet Machine Plus. Do not try to use it on a rigid or craftsman vac, it won't fit.",
open-ended,B00002N6RY,"Apr 26, 2014",1398495600.0,"I have a huge basement in my home. I want to know what I nrrd to get rid of webs and lots of dust all over the basement.e.g floor, walls, items tha","This sleeve is worthless. Shop vans are fine, the more h.p.thebetter also they are only as good as the attachments that are available for the vac you buy. Retrofit a 20 ft hose from a central vacuum system and you have access to better attachments.",
open-ended,B00002N6RV,"Dec 4, 2013",1386144000.0,I said Will it work in a one gallon shop vac?,"Yes, definitly",
open-ended,B00002N6RV,"Mar 14, 2013",1363244400.0,"Shop Vac 901-07-19 reusable dry filter. Don't want to use the bags. So, is this dry filter used in place of the foam filter or over the foam filter?","I have always used the dry filter over the foam filter, both can be emptied and washed along with the vac tub when the tub gets really full of pet hairs and dust. This keeps the air around the shop vac from spewing out fine dust everywhere when vacuuming the vehicle.",
open-ended,B00002N6RV,"May 8, 2014",1399532400.0,"What is the diameter of this filter? I am looking for this type of filter that will fit a 10gal craftsman wet,dry vac.",Filter diameter 18.5 inches,
open-ended,B00002N6RV,"Feb 14, 2015",1423900800.0,How many in a package?,3 + the ring.. as in the description,
yes/no,B00002N6RV,"Jan 18, 2015",1421568000.0,Do these come with the ring needed for their attachment?,I don't believe so...... you should already have the ring that came with your vacuum.,?
open-ended,B00002N6RV,"Oct 19, 2014",1413702000.0,what is RE-USEABLE about this? It feels like paper. Can I wash it with water?,I believe we rinse it with water and let it dry.,
open-ended,B00002N6RV,"Sep 8, 2014",1410159600.0,How would if fit in a one in a half or 2 gallon carry vac? Would it be too big? Can I cut it down?,It fits fine. No problem,
yes/no,B00002N6RV,"Jun 2, 2014",1401692400.0,"Does this fit the Mini vac 1 and 1/2 gal, because the plastic ring fits losely around the sleeve at the bottom.","Fits model #2E200, original part #90107, ShopVac hangup mini. Not sure, but it is either a 1 gallon or 1-1/2 gallon. Hope this helps.",?
yes/no,B00002N6RV,"May 9, 2014",1399618800.0,Will this fit a 3 gallon shop vac?,"I am not familiar with the 3 gallon model but since the filter enclosures on the models I am familiar with are all the same size, my guess is that it will fit. To the best of my knowledge all the paper and foam filters, as well as the plastic rings that secure the paper filters, as all the same size.",?
open-ended,B00002N6RV,"Apr 7, 2014",1396854000.0,Do these paper filters tear easily like notebook paper or something? Are they durable?,Not so far. I've been using mine for at least 6 months and I've even washed it off once and it's still holding up fine. Good Luck!,
yes/no,B00002N6RU,"Jan 23, 2014",1390464000.0,Will this bag fit a other brand shop vac 6 gallon,Yes it will it fits a 5 to 8 gallon vac.,Y
yes/no,B00002N6RU,"Dec 7, 2014",1417939200.0,"I use my shop vac to clean my cold fireplace ash but the filter keeps stopping up, would this work?","The bags would work well. You may still have to clean yur filter, but the vac with the peper bags inside works well and picks up just about anything.",?
yes/no,B00002N6RU,19 days ago,,I have H87S550A. Can I use the collection filter bag without the cartridge filter?,"I do, so yes.",?
open-ended,B00002N6RU,"Apr 7, 2015",1428390000.0,"I have a 5 gallon shop vac what is difference between type e, which i know will work on mine, and type h? question is will type h work on my shop vac?",Type E for medium filtration type H for fine filtration. I believe they will fit the 5 gal shop vac.,
yes/no,B00002N6RU,"Mar 11, 2015",1426057200.0,"would some one please tell the size of the opening. I bought a shop vac from sears and they sent me the wrong bags for it. mine is aprox.2.4"" 62mm","The bags have a cardboard hole in them, which is 1.5 inches, expandable to 2.25 inches. The bags require a protruding piece from the vacuum cleaner, to insert into the hole.",?
yes/no,B00002N6RU,"Mar 6, 2015",1425628800.0,Are these bags reusable?,"No. You install these into your vac. It fills with the debris and then you remove and toss. You still will have the filter on your vac. I find that I get less reduction in suction with the bags even though they are filled. Without the bags,the filter gets quickly filled and loss of suction.",?
yes/no,B00002N6RU,"Jan 6, 2014",1388995200.0,WOULD THIS FIT SHOP VAC 2035027 MAC SERIES 5 GALLON?,"Yes it will, mine is a 5gallon.",Y
yes/no,B00002N6RU,"Nov 14, 2013",1384416000.0,"Does filter bag 9066100 fit Shop-Vac vacuum H87S550A (5 gal, 5.5 HP)","Yes, this filter bag will fit the 5 gallon size Shop Vac; I bought a 6-gallon unit and these bags work fine so there's no reason that they won't work for your situation.....",?
yes/no,B00002N6RU,"Nov 14, 2013",1384416000.0,Does this fit Shop-vac H87S550A,Don't know,?
yes/no,B00002N6RU,"Nov 12, 2013",1384243200.0,will this bag fit a 5 gallon 4.5 hp hang-up pro shop vac?,Yes it will fit a 5 gallon shop vac I have one just like it with those bags,Y
open-ended,B00002ND4H,"Apr 9, 2014",1397026800.0,"hi, I would like to now how many bags do you get in a pack for $16.22",2,
yes/no,B00002ND4H,13 days ago,,will these fit a stanley 16 gal vac?,yes it fits a15 to 22 gal.vac.,Y
yes/no,B00002ND4H,"Feb 24, 2015",1424764800.0,Has anyone tried using these on a craftsman 16 gallon yet?,Yes. The only problem is over filling the bag to where it is too heavy to pick up without ripping the bag.,Y
open-ended,B00002ND4H,"Feb 16, 2014",1392537600.0,"Filtration efficiency? You would think if they call it ""high"" they would actually have a number?",I really dont know but just dont use it for lead demo work,
yes/no,B00002ND4H,"Nov 15, 2013",1384502400.0,Does this fit the Craftsman 20 gallon side inlet wet/dry vac?,I believe it should. I have a 16 gal shop vac and there is plenty of room.,Y
yes/no,B00002ND41,"May 21, 2014",1400655600.0,Could someone please measure and reply what's the outside and inside diameter of this extension? I have a specific need and would need to know both!,"They taper... the smaller end of each tube is 1"" ID, 1 3/16"" OD. The larger end of each tube is 1 9/32"" ID and 1 15/32"" OD at the very end - but since they sleeve together for a snug fit the dimensions will differ constantly at various points along the tube. Each of the 3 sections is 14"" in length individually. I'm not calculating the rate of taper - too much math...",?
open-ended,B00002ND41,"Jan 4, 2014",1388822400.0,"What is the length of each of the three pieces? Are they each about 14"" long, and measure 40"" when all 3 are fitted together?",Yes!,
open-ended,B00002ND41,"Mar 13, 2015",1426230000.0,"confused. Is the actual diameter less than 1.25""? I'd like to attach a 1.25"" (diameter) tool to a 1.25"" (diameter) hose? Will this do the trick?",The Tubes are tapered on one end so you can attach a 1.25 attachment or more tubes.,
yes/no,B00002ND41,"Jan 25, 2015",1422172800.0,will these wands fit a 1.5 inch shop vac hose?,"The outside diameter is 1 7/16 inch, so maybe it would fit inside the shop vac tube. You could measure. If you wanted a more permanent connection, even if the fit were a little off, you might use duct tape.",Y
open-ended,B00002ND41,"Jan 13, 2015",1421136000.0,"I have a shop-vac All around plus, 4 gallon 4,5 peak hp. This extension will fit in it? Tks",I have 2 different shop-vacs and they fit in both. I'm guessing they're universal.,
open-ended,B00002ND41,"Dec 19, 2014",1418976000.0,How do I know how many wands I will get if I order this item ?,"I got three, just like the photo shows. But, a person would have to be very tall to make use of four of them ... :{)",
open-ended,B00002ND41,"May 19, 2014",1400482800.0,The inside diameter of my vacuum hose is 1 inch. Is it the standard? Will this extension work?,You should be ok. I added some hose that was was not Shop-Vac and had no problems. Attachments from older household vacuums don't always fit though.,
open-ended,B00002ND41,"Jan 24, 2014",1390550400.0,What dusting brush tool would fit with the end of these?,"My wife doesn't have one....Maybe I should get one for her, she doesn't have enough to do anyway. I wish I could have answered your question better but that's the best I got.",
open-ended,B00002ND4I,"Sep 24, 2013",1380006000.0,How do you install these bags?,Place the hole over the intake nozzle then replace the top of the shop-vac. Unfortunately the vac motor does get in the way and does not allow the bag to fully open.,
open-ended,B00002ND4I,"Feb 3, 2015",1422950400.0,what is the size of the hole opening?,According to my ruler the opening is 6.2cm cardboard to cardboard and 3.9cm from one edge of the gasket to the other. It fits my 12 gallon perfectly. This is exactly the same product that I had to travel to Lowes to get before I started getting them through Amazon.,
yes/no,B00002ND4I,"Dec 17, 2014",1418803200.0,does it fit Bostitch,"Sorry, I have no experience with a Bostitch shop vac.",?
yes/no,B00002ND4I,"May 31, 2014",1401519600.0,Can you use these bags when vacuming up those helicopter things from trees?,Yes as long as they are not wet,?
yes/no,B00002ND4I,"Feb 23, 2014",1393142400.0,Does it fit new craftsman 12 gal model #12006,"Yes, I have one and these fit perfectly.",Y
yes/no,B00002ND4I,"Jan 7, 2015",1420617600.0,Will this work inside the 14 gallon Rigid Shop vac?,Not sure I use them in a 10 gallon shop vac,?
open-ended,B00002ND4G,"Mar 10, 2015",1425970800.0,how long is the straight wand and curved wand( the latter before the curve/bend)? Thanks,"The bent one is straight for 4 inches then the bend is about 1"", I can't find the straight piece, but the length is approx 5"" as well.",
open-ended,B00002ND4G,"Feb 24, 2015",1424764800.0,It starts off at 1-1/4 and reduces it to what size? I am looking for something to fit into tight spaces when cleaning a car.,It reduces to 1/4(1cm). It fits to cleaning a car very well.,
yes/no,B00002ND4G,"Oct 4, 2014",1412406000.0,Will these accesories work in the blowing mode of the Shop Vac vacuum ?,I don't see why they wouldn't.,?
open-ended,B00002ND4G,"Jun 14, 2014",1402729200.0,What is the maximum length of the attachments? I would like to find an attachment that would clean under the front dryer lint trap?,They are at most 10 inches long.,
open-ended,B00002ND4G,"Apr 1, 2014",1396335600.0,"Oreck XL Handheld Model CC1600 w/ 1.25"" diameter hose. Will these attachments fit as sold? Or must I buy another adapter? Thanks!","I have the micro set but not the Oreck. I looked up your model, and it did not mention the size of the hose, but i see the part and if you are certain its diameter is indeed 1 1/4in, then yes it should fit without the need for another adapter. The larger part adapter included in the micro tools kit is, or was at the time i purchased 1 1/4""(1.25) in diameter.",
yes/no,B00002ND4G,"Dec 23, 2013",1387785600.0,will this fit the Craftsman 2.5 gallon?,It should.,?
yes/no,B00002ND4G,"Nov 5, 2013",1383638400.0,Will this kit fit a rigid vf4000? Thank you.,"I am not familiar with your vac. If it is a standard ""shop"" canister style vacuum, it probably has a standard 2.5 inch hose. You can measure this. If it is a 2.5 inch hose, you can buy a conversion adapter that attaches to the 2.5 inch hose and then steps down to a 1.25 inch connection for these micro tools. The conversion unit I bough for this purpose is this one: ""Shop-vac 906-85 2-1/2"" to 1-1/4"" Conversion Unit"" (linked here: http://www.amazon.com/gp/product/B00004RHKZ/ref=cm_cr_ryp_prd_ttl_hst_8).",?
yes/no,B00002ND4G,"Dec 14, 2014",1418544000.0,are the attachments with brushes on them safe to use on a vinyl record?,"Zach-yes, that's about all the whole vac is doing-very weak",?
open-ended,B00002ND4G,"Nov 11, 2013",1384156800.0,Does this fit any gallon sized shop vac? any brand?,"Sorry, I think these accessories belong to another vacuum size, mine is a 1.5 Us galon",
yes/no,B00002ND4G,"May 15, 2014",1400137200.0,will these accessories fit a SL14-400 shopvac,"Sorry, I can't answer that. I got the 2.0 gallon vacuum, it's small but accessories are standard size. I use it for regular cleaning around the house and cleaning my car and it does a wonderful job",?
open-ended,B00002ND6L,"May 7, 2014",1399446000.0,do you need caulking gun to use this tube? Can it be used on its own?,"Yes, you will need a medium duty caulking gun. There are products (that don't require a caulking gun) that come in squeezable tubes that are okay for small jobs and/or hard to reach locations. However, it is difficult to lay a professional looking bead of caulk with these tubes and comparatively they are very expensive. If you own a home, especially an older one, you will need to do a lot of caulking and a caulking gun is a wise and inexpensive investment. You should purchase a decent one with a rotating metal wire at the end of the gun (where the nozzle of the caulk tube goes) that is used to pierce foil seals in the nozzles of most painter's (acrylic non-silicone) caulks, and will help to break through any hardened residue in an old tube of caulk if you want to use it after it has been sitting around for awhile.",
yes/no,B00002ND6L,"Dec 21, 2014",1419148800.0,would it be okay to seal around a bathtub,I have used it to seal all around a tile shower with good results for several years.,Y
yes/no,B00002ND6L,"Jun 20, 2014",1403247600.0,Is this 100% silicone?,No. It acts more like latex than silicone,?
open-ended,B00002ND6L,"Jun 7, 2014",1402124400.0,How do I re-seal the tip after partial use? Other culks have a removable cap but this one doesn't. Do I need a plastic wrap and a rubber band? Thanks.,"What I do is stick a pin in the top( it comes with one) place it up in airtight place until next time. My wife says she covers it with cellophane wrap, or use a zip lock bag. This should work well",
open-ended,B00002ND6L,28 days ago,,How long does it need to dry before you can paint it?,"About 2 warm days(50 to 65), or 1 hot day(70 to 90). The top layer dries quicker but depending on the thickness, lower layers might need some time to dry.",
yes/no,B00002ND6L,"Apr 6, 2015",1428303600.0,Is this price for a case?,"No, for one.",N
yes/no,B00002ND6L,"Dec 18, 2014",1418889600.0,Can I use this to seal the air leaks around my baseboard radiator? There are huge openings around the pipes,"If they are gaps of 1/4 inch or smaller it would be fine. If they are much bigger than that, you might have better luck with expanding foam products.",Y
yes/no,B00002ND6L,"Dec 8, 2014",1418025600.0,Will it provide a strong bond between wood and ceramic?,no its not meant to be adhesive,N
yes/no,B00002ND6L,"Nov 23, 2014",1416729600.0,Can this be used to 'glue' a mirror to another?,No,N
open-ended,B00002ND6L,"Oct 11, 2014",1413010800.0,Newbie here... Can were use this Caulk around bathtubs and kitchen sinks? It said all purpose??,Yes it works great for that.,
yes/no,B0000302U0,"Jan 10, 2015",1420876800.0,will this fit the wd 12000?,"yes, the VF4000 filter will work in the 12000 model.",Y
yes/no,B0000302U0,16 days ago,,Is there a difference between the VF4000RT and the VF4000?,"The parts manual for my vacuum stated that I needed the VF4000 however I ordered the VF400RT. The only difference I see is that the ""RT"" doesn't require the plate, just the nut (because the plate is built onto the filter).",?
yes/no,B0000302U0,"Feb 17, 2015",1424160000.0,Photo shows it with the filter plate. Is it included,Yes,Y
yes/no,B0000302U0,"Apr 12, 2014",1397286000.0,will it fit Ridge WD12500?,"Yes, the 12500 uses the VF4000 filter.",Y
yes/no,B0000302U0,"Sep 25, 2013",1380092400.0,will it fit a Rigid WD14500?,Yes,Y
yes/no,B0000302U0,"May 22, 2013",1369206000.0,will this filter fit a ridgid wd12450?,perfectly fits,?
yes/no,B00004RH8I,"Oct 16, 2014",1413442800.0,Is this comparable (fit/work) with a Makita 9557PBX1 4.5 inch angle grinder? Just picked one up &amp; looking for additional wheels. Thanks !!,You just have to find out what your arbor size is and see if they are compatible then.,?
yes/no,B00004RH8I,"Jun 22, 2014",1403420400.0,Will this multi purpose grinding wheel sharpen lawn mower blades,"Not the best method, but should work if you can maintain a consistent angle. Bench grinder is a better solution if you have one.",?
yes/no,B00004RH8I,"Jan 24, 2014",1390550400.0,"i want a mini grinding disc to grind the mould split line which is made of silicone,can u tell me whichone is suitable for it","Unfortunately, I'm not familiar with a mould split line and the silicone you mention. I've used it exclusively on metal related objects, usually after welding to smooth the surface for a better and more professional finish. Wish I could have been of more help.",?
open-ended,B00004RH8I,"Jun 21, 2014",1403334000.0,hi.where this item is made,The grinder is made in China. The disc is made in Canada.,
open-ended,B00004RHKS,13 days ago,,Can someone please measure the dimensions of the bag folded out laying flat? Is the diameter of the cardboard hole really 3 inches??,"This bag is 6.5"" wide and 16.75"" long with 1.5"" diameter for the hose. The cardboard is 3.25"" for the hole.",
yes/no,B00004RHKS,14 days ago,,Will these filters work with a Stanley 2.5 gallon shop vac? They look almost identical. Please answer only if you know. Thanks.,Sorry not no Thanks,N
open-ended,B00004RHKS,"Jul 27, 2014",1406444400.0,What is the diameter of the hole?,"The diameter is 1-3/8"" for the hole in the rubber ring. But that rubber stretches. The hole in the cardboard is three inches. So you could put it on anything from 1-3/8"" up to around 2-1/4"" and it would work.",
yes/no,B00004RHKS,"Jun 14, 2014",1402729200.0,Will these collection bags fit shop vac Mdl # QAL8OAQ ?,They don't even fit what they are supposed to fit,?
yes/no,B00004RHKS,"Sep 20, 2013",1379660400.0,Will these bag fit the QAM70 ShopVac...the bags I currently have specify bags for that model only.,I honestly don't know,?
yes/no,B00004RHKS,"Oct 14, 2013",1381734000.0,Do these work on Stinger Wet/Dry Vacs?,I do not know????,N
yes/no,B00004RHKS,"Aug 25, 2013",1377414000.0,Is the foam filter just for sucking up water?,I don't really know. I would assume the foam filter also stops fine debris from going through (like dry wall dust and such) too.,?
yes/no,B00004RHKS,"Jan 20, 2014",1390204800.0,Would these fit ArmorAll AA255 Utility Wet/Dry Vacuum?,"I honestly don't know. I have never seen or even know of the ArmorAll AA255 Utility Wet/Dry Vacuum. Sorry I couldn't be of more help, but maybe if you call the manufacture they could answer the question better. I also have a Shop-Vac.",?
open-ended,B00004RHKR,"Dec 13, 2013",1386921600.0,"I have an older 1 gallon 1 HP shop vac. Do only dry stuff. Will the bags fit?Do I only need these bags, or do I need a filter and foam sleeve, anyway?","I use my Shop Vac for dry only, too. My vac is 1.5 gallons and I buy the 1.5 gal bags. The vac came with a filter and foam sleeve but I have never used it (hope I never have to). I would buy 1 gallon bags for your vac to be sure.",
yes/no,B00004RHKR,"Sep 15, 2013",1379228400.0,will this filter bag fit the 1 gallon vac?,"yeah, it works in mine. I'm not sure why they did 1.5, it works fine.",?
open-ended,B00004RHKR,"Jan 10, 2014",1389340800.0,"Will this bag fit 1.5 gallon, model #58595100? If not, which bag should I order?",book. We no longer have the box but you can get on the internet with the company who made the vac or check your direction Leeann,
open-ended,B00004RHKR,"Dec 26, 2013",1388044800.0,Will this fit my 1.5 gallon Hang on shop vac? is this for drywall dust?,"Carol, I can't answer your question. It fits my particular Shop Vac beautifully, but it came with the vac and I ordered extra for that model. Why don't you check with the manufacturer to be sure.",
yes/no,B00004RHKR,"Oct 16, 2014",1413442800.0,does this fit model# QS60 ?,No. I had to modify it. They just don't seem to have any idea of what filter goes with what vacumn. Stupid. I kept getting the wrong bags and PAYING for them. Good luck.,?
yes/no,B00004RHKX,"Oct 29, 2013",1383030000.0,Does the hose fit and lock in Shop-Vac Model 87:600A ~ wet/dry vacuum?,"It fits mine, so I'm sure it fits any model. A great replacement for the flimsy hose it came with.",Y
yes/no,B00004RHKX,"Dec 31, 2014",1420012800.0,"Will it fit a Sears 12 gallon shop vac? Looks like the hose connection to the vac is 2.5"" but the attachment end to the hose looks smaller like 2.25""","I'm not sure, I have this one on my shop vac 14 gallon and fits great, so should fit",?
yes/no,B00004RHKX,"Dec 16, 2014",1418716800.0,Hi! Will this fit a 2.5 Gallon shop vac Hang up Portable?,"My guess is. Probably not. This has a 2"" hose. Mine was a 12 gallons",?
yes/no,B00004RHKX,"Nov 5, 2014",1415174400.0,does it fit the model wd06350,"Accessory kits are universally sized and hence fit any vac that uses 2.5"" fittings and hoses. I have never owned a Rigid vac, but it appear to use 2-1/2"" fittings and hoses. If so, this kit will work fine.",Y
yes/no,B00004RHKX,"Nov 5, 2014",1415174400.0,does it fit the model wd06350,"I have a 12 gallon shopvac. Not sure of the model but it fit mine perfectly. And mine is at least 6 years old. Not sure of the model. But if this is the right diameter hose, I bet it fits.",?
yes/no,B00004RHKX,"Jun 29, 2014",1404025200.0,Is this kit compatible with my rigid wet/dry vac that also take a 2 1/2 hose?,Yes it is compatible with all shop vac brands. The hose in this kit is very cheaply made it tore up on me after the first time I used it. I had to go to lowes and buy the actual shop vac brand hose and spend another $25. The atachments are the only thing that are worth the money.,Y
open-ended,B00004RHKX,"Mar 25, 2014",1395730800.0,"This kit does come with the brush for the 14"" nozzle for vacuuming drywall correct?",No brush. Just the two wide nozzles and a crevice nozzle.,
open-ended,B00004RHKX,"Mar 15, 2014",1394866800.0,"Does this kit fit my Shop-Vac QSP Pro 16gal? The hose it has currently is a lock-on model, will this replace it properly?",It says in the description that it fits standard and lock on!,
open-ended,B00004RHKX,"Mar 15, 2014",1394866800.0,"Does this kit fit my Shop-Vac QSP Pro 16gal? The hose it has currently is a lock-on model, will this replace it properly?","Wish I could help you, purchased the hose for Church vacuum and the hose fit, but I do not know the model. If you buy be careful of the small attachment that keeps the hose attachment connected. The person who unpacked lost the small piece.. Best I can do to advise you.",
open-ended,B00004RHKX,"Oct 29, 2013",1383030000.0,Gave wrong # for Model ~~ try again Does the hose fit and lock in Shop-Vac Model 87P600A ~ wet/dry vacuum?,yes..good fix,
yes/no,B00004S1V2,"Jun 9, 2014",1402297200.0,Is the solenoid latching on this model,"No, this unit uses a regular solenoid. Latching Solenoids uses the electrical current pulse or internal permanent magnet material to maintain a set position without the constant application of an electrical current. While the principal of operation is similar to all linear solenoids, latching solenoids are different in that the electrical polarity is important to obtain proper operation.",N
